"","x","Cool niche filling","Warm niche filling","Range filling","Bias in underfilling"
"1","Acris crepitans","x",NA,NA,NA
"2","Agkistrodon contortrix","x","x","x","x"
"3","Agroeca proxima","x","x","x","x"
"4","Ameiva festiva","x","x","x","x"
"5","Amphibolurus muricatus","x","x","x","x"
"6","Anodontia bullula","x","x","x","x"
"7","Anolis barbouri","x","x","x","x"
"8","Anolis carolinensis","x","x","x","x"
"9","Anolis cristatellus","x","x",NA,NA
"10","Anolis cupreus","x","x","x","x"
"11","Anolis humilis","x","x","x","x"
"12","Anolis intermedius","x","x","x","x"
"13","Anolis lemurinus","x","x","x","x"
"14","Anolis limifrons","x","x","x","x"
"15","Anolis lionotus","x","x","x","x"
"16","Anolis tropidolepis","x","x","x","x"
"17","Austrelaps superbus","x","x","x","x"
"18","Barbatia pistachia","x","x","x","x"
"19","Bassiana duperreyi","x","x","x","x"
"20","Boreogadus saida","x",NA,NA,NA
"21","Calathus melanocephalus","x",NA,NA,NA
"22","Cerastoderma edule","x","x","x","x"
"23","Chamaeleo dilepis","x","x","x","x"
"24","Chamaeleo jacksonii","x","x","x","x"
"25","Clubiona diversa","x","x","x","x"
"26","Clubiona trivialis","x","x","x","x"
"27","Coleonyx brevis","x","x","x","x"
"28","Coleonyx variegatus","x","x","x","x"
"29","Cophosaurus texanus","x","x","x","x"
"30","Cordylus cordylus","x","x","x","x"
"31","Cordylus niger","x","x",NA,NA
"32","Cordylus oelofseni","x","x","x","x"
"33","Craugastor fitzingeri","x",NA,NA,NA
"34","Crustulina guttata","x","x","x","x"
"35","Ctenophorus decresii","x","x","x","x"
"36","Ctenotus regius","x","x",NA,NA
"37","Ctenotus taeniolatus","x","x","x","x"
"38","Ctenotus uber","x","x","x","x"
"39","Dascyllus aruanus","x","x","x","x"
"40","Dendrobates auratus","x","x","x","x"
"41","Desmognathus fuscus","x","x","x","x"
"42","Dipsosaurus dorsalis","x","x","x","x"
"43","Divaricella irpex",NA,NA,NA,NA
"44","Egernia cunninghami","x","x","x","x"
"45","Egernia saxatilis","x","x","x","x"
"46","Egernia striolata","x","x","x","x"
"47","Eleutherodactylus coqui","x","x","x","x"
"48","Elgaria multicarinata","x","x","x","x"
"49","Engraulis japonicus","x","x","x","x"
"50","Engystomops pustulosus","x",NA,NA,NA
"51","Eremias argus","x","x","x","x"
"52","Eremias brenchleyi","x","x","x","x"
"53","Eremias multiocellata","x","x",NA,NA
"54","Eremiascincus fasciolatus","x","x","x","x"
"55","Eremiascincus richardsoni","x","x","x","x"
"56","Eulamprus heatwolei","x","x","x","x"
"57","Eulamprus kosciuskoi","x","x","x","x"
"58","Eulamprus quoyii","x","x","x","x"
"59","Eulamprus tympanum","x","x","x","x"
"60","Eurycea bislineata","x","x","x","x"
"61","Fundulus parvipinnis","x","x","x","x"
"62","Gambelia wislizenii","x",NA,NA,NA
"63","Gehyra variegata","x","x","x","x"
"64","Halichoeres dispilus","x","x","x","x"
"65","Hemachatus haemachatus","x","x","x","x"
"66","Hemidactylus frenatus","x","x","x","x"
"67","Hemidactylus turcicus","x","x","x","x"
"68","Hemiergis decresiensis","x","x","x","x"
"69","Hemiergis peroni","x","x",NA,NA
"70","Hemigrapsus nudus","x","x",NA,NA
"71","Heteronotia binoei","x","x","x","x"
"72","Hoplodactylus maculatus","x",NA,NA,NA
"73","Hyalinobatrachium fleischmanni","x",NA,NA,NA
"74","Lacerta agilis","x","x","x","x"
"75","Lampropholis delicata","x","x","x","x"
"76","Lampropholis guichenoti","x","x","x","x"
"77","Lepidodactylus lugubris","x","x","x","x"
"78","Lepidophyma flavimaculatum","x","x","x","x"
"79","Leptodactylus pentadactylus","x",NA,NA,NA
"80","Linepithema humile","x","x","x","x"
"81","Liolaemus abaucan","x","x",NA,NA
"82","Liolaemus albiceps","x","x","x","x"
"83","Liolaemus alticolor","x",NA,NA,NA
"84","Liolaemus altissimus","x",NA,NA,NA
"85","Liolaemus bibronii","x","x",NA,NA
"86","Liolaemus bisignatus","x",NA,NA,NA
"87","Liolaemus boulengeri","x","x",NA,NA
"88","Liolaemus canqueli","x","x",NA,NA
"89","Liolaemus capillitas","x","x","x","x"
"90","Liolaemus chacoensis","x","x","x","x"
"91","Liolaemus chiliensis","x",NA,NA,NA
"92","Liolaemus constanzae","x",NA,NA,NA
"93","Liolaemus curis","x",NA,NA,NA
"94","Liolaemus cuyanus","x","x","x","x"
"95","Liolaemus cyanogaster","x",NA,NA,NA
"96","Liolaemus darwinii","x","x","x","x"
"97","Liolaemus dorbignyi","x","x","x","x"
"98","Liolaemus eleodori","x",NA,NA,NA
"99","Liolaemus elongatus","x","x",NA,NA
"100","Liolaemus fabiani","x",NA,NA,NA
"101","Liolaemus fitzgeraldi","x",NA,NA,NA
"102","Liolaemus fitzingerii","x","x",NA,NA
"103","Liolaemus fuscus","x",NA,NA,NA
"104","Liolaemus irregularis","x","x","x","x"
"105","Liolaemus jamesi","x",NA,NA,NA
"106","Liolaemus kingii","x","x",NA,NA
