,Scientific name,Cool niche filling,Warm niche filling,Range filling,Bias in underfilling
1,Acris crepitans,x,,,
2,Agkistrodon contortrix,x,x,x,x
3,Agroeca proxima,x,x,x,x
4,Ameiva festiva,x,x,x,x
5,Amphibolurus muricatus,x,x,x,x
6,Anodontia bullula,x,x,x,x
7,Anolis barbouri,x,x,x,x
8,Anolis carolinensis,x,x,x,x
9,Anolis cristatellus,x,x,,
10,Anolis cupreus,x,x,x,x
11,Anolis humilis,x,x,x,x
12,Anolis intermedius,x,x,x,x
13,Anolis lemurinus,x,x,x,x
14,Anolis limifrons,x,x,x,x
15,Anolis lionotus,x,x,x,x
16,Anolis tropidolepis,x,x,x,x
17,Austrelaps superbus,x,x,x,x
18,Barbatia pistachia,x,x,x,x
19,Bassia duperreyi,x,x,x,x
20,Boreogadus saida,x,,,
21,Calathus melanocephalus,x,,,
22,Cerastoderma edule,x,x,x,x
23,Chamaeleo dilepis,x,x,x,x
24,Chamaeleo jacksonii,x,x,x,x
25,Clubio diversa,x,x,x,x
26,Clubio trivialis,x,x,x,x
27,Coleonyx brevis,x,x,x,x
28,Coleonyx variegatus,x,x,x,x
29,Cophosaurus texanus,x,x,x,x
30,Cordylus cordylus,x,x,x,x
31,Cordylus niger,x,x,,
32,Cordylus oelofseni,x,x,x,x
33,Craugastor fitzingeri,x,,,
34,Crustuli guttata,x,x,x,x
35,Ctenophorus decresii,x,x,x,x
36,Ctenotus regius,x,x,,
37,Ctenotus taeniolatus,x,x,x,x
38,Ctenotus uber,x,x,x,x
39,Dascyllus aruanus,x,x,x,x
40,Dendrobates auratus,x,x,x,x
41,Desmogthus fuscus,x,x,x,x
42,Dipsosaurus dorsalis,x,x,x,x
43,Divaricella irpex,,,,
44,Egernia cunninghami,x,x,x,x
45,Egernia saxatilis,x,x,x,x
46,Egernia striolata,x,x,x,x
47,Eleutherodactylus coqui,x,x,x,x
48,Elgaria multicarita,x,x,x,x
49,Engraulis japonicus,x,x,x,x
50,Engystomops pustulosus,x,,,
51,Eremias argus,x,x,x,x
52,Eremias brenchleyi,x,x,x,x
53,Eremias multiocellata,x,x,,
54,Eremiascincus fasciolatus,x,x,x,x
55,Eremiascincus richardsoni,x,x,x,x
56,Eulamprus heatwolei,x,x,x,x
57,Eulamprus kosciuskoi,x,x,x,x
58,Eulamprus quoyii,x,x,x,x
59,Eulamprus tympanum,x,x,x,x
60,Eurycea bislineata,x,x,x,x
61,Fundulus parvipinnis,x,x,x,x
62,Gambelia wislizenii,x,,,
63,Gehyra variegata,x,x,x,x
64,Halichoeres dispilus,x,x,x,x
65,Hemachatus haemachatus,x,x,x,x
66,Hemidactylus fretus,x,x,x,x
67,Hemidactylus turcicus,x,x,x,x
68,Hemiergis decresiensis,x,x,x,x
69,Hemiergis peroni,x,x,,
