"binomial","acc_name"
"Acris crepitans","Acris crepitans"
"Adelotus brevis","Adelotus brevis"
"Agkistrodon contortrix","Agkistrodon contortrix"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum"
"Ambystoma macrodactylum","Ambystoma macrodactylum"
"Ambystoma maculatum","Ambystoma maculatum"
"Ameiurus melas","Ameiurus melas"
"Ameiurus natalis","Ameiurus natalis"
"Anax junius","Anax junius"
"Anaxyrus compactilis","Anaxyrus compactilis"
"Anniella pulchra","Anniella pulchra"
"Anolis carolinensis","Anolis carolinensis"
"Anolis cooki","Anolis cooki"
"Anolis cristatellus","Anolis cristatellus"
"Anolis cybotes","Anolis cybotes"
"Anolis distichus","Anolis distichus"
"Anolis evermanni","Anolis evermanni"
"Anolis gundlachi","Anolis gundlachi"
"Anolis krugi","Anolis krugi"
"Anolis lemurinus","Anolis lemurinus"
"Anolis pentaprion","Anolis pentaprion"
"Anolis pulchellus","Anolis pulchellus"
"Anolis sagrei","Anolis sagrei"
"Anolis stratulus","Anolis stratulus"
"Anoplolepis gracilipes","Anoplolepis gracilipes"
"Apalone ferox","Apalone ferox"
"Apogon novemfasciatus","Apogon novemfasciatus"
"Ascidia ceratodes","Ascidia ceratodes"
"Atherinops affinis","Atherinops affinis"
"Austrelaps superbus","Austrelaps superbus"
"Bufo alvarius","Incilius alvarius"
"Bufo boreas","Anaxyrus boreas"
"Bufo canaliferus","Incilius canaliferus"
"Bufo canorus","Anaxyrus canorus"
"Bufo cognatus","Anaxyrus cognatus"
"Bufo debilis","Anaxyrus debilis"
"Bufo exsul","Anaxyrus exsul"
"Bufo luetkenii","Incilius luetkenii"
"Bufo marinus","Rhinella marina"
"Bufo marmoreus","Incilius marmoreus"
"Bufo mazatlanensis","Incilius mazatlanensis"
"Bufo nelsoni","Anaxyrus nelsoni"
"Bufo woodhousii_fowleri","Anaxyrus fowleri"
"Camponotus chromaiodes","Camponotus chromaiodes"
"Camponotus novaeboracensis","Camponotus novaeboracensis"
"Carcinus maenas","Carcinus maenas"
"Carpiodes cyprinus","Carpiodes cyprinus"
"Catostomus clarkii","Catostomus clarkii"
"Catostomus commersoni","Catostomus commersonii"
"Cerastoderma edule","Cerastoderma edule"
"Chamaeleo bitaeniatus","Trioceros bitaeniatus"
"Chamaeleo ellioti","Trioceros ellioti"
"Chamaeleo hoehnelii","Trioceros hoehnelii"
"Chamaeleo jacksonii","Trioceros jacksonii"
"Chamaeleo schubotzi","Trioceros schubotzi"
"Charina bottae","Charina bottae"
"Chionactis occipitalis","Chionactis occipitalis"
"Chondrodactylus bibronii","Chondrodactylus bibronii"
"Cnemidophorus sexlineatus","Cnemidophorus sexlineatus"
"Coleonyx brevis","Coleonyx brevis"
"Coleonyx variegatus","Coleonyx variegatus"
"Cophosaurus texanus","Cophosaurus texanus"
"Cordylus cordylus","Cordylus cordylus"
"Cottus bairdi","Cottus bairdi"
"Cottus cognatus","Cottus cognatus"
"Crangon crangon","Crangon crangon"
"Cranopsis coccifer","Incilius coccifer"
"Craugastor fitzingeri","Craugastor fitzingeri"
"Craugastor fleischmanni","Craugastor fleischmanni"
"Crinia darlingtoni","Assa darlingtoni"
"Crinia laevis","Geocrinia laevis"
"Crinia signifera","Crinia signifera"
"Crinia victoriana","Geocrinia victoriana"
"Crotalus atrox","Crotalus atrox"
"Crotalus scutulatus","Crotalus scutulatus"
"Crotalus viridis","Crotalus viridis"
"Crotaphytus collaris","Crotaphytus collaris"
"Cyclorana alboguttatus","Ranoidea alboguttata"
"Cyclorana brevipes","Ranoidea brevipes"
"Cyprinella lutrensis","Cyprinella lutrensis"
"Cyprinella spiloptera","Cyprinella spiloptera"
"Dascyllus aruanus","Dascyllus aruanus"
"Dendrobates auratus","Dendrobates auratus"
"Desmognathus fuscus","Desmognathus fuscus"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus"
"Dicentrarchus labrax","Dicentrarchus labrax"
"Diplodus sargus","Diplodus sargus"
"Dipsosaurus dorsalis","Dipsosaurus dorsalis"
"Drosophila guttifera","Drosophila guttifera"
"Echinometra lucunter","Echinometra lucunter"
"Elgaria coerulea","Elgaria coerulea"
"Elgaria multicarinata","Elgaria multicarinata"
"Engraulis japonicus","Engraulis japonicus"
"Engystomops pustulosus","Engystomops pustulosus"
"Epigomphus quadracies","Epigomphus quadrices"
"Ericymba buccata","Notropis buccatus"
"Etheostoma caeruleum","Etheostoma caeruleum"
"Etheostoma cragini","Etheostoma cragini"
"Etheostoma nigrum","Etheostoma nigrum"
"Etheostoma spectabile","Etheostoma spectabile"
"Eucidaris tribuloides","Eucidaris tribuloides"
