"data gatherer","Genus","Species","Family","Realm","Kingdom","Phylum","Class","Order","maximum body size (SVL, HBL, cm)","Source for maximum body size","Trophic position","Source/logic for trophic position","migratory?","source/logic for migration info","dispersal distance category","logic/source for dispersal distance","dispersal type (walking may need to be reworded to something that encaptures slithering)","logic/source for dispersal type","cold season dormancy?","source/logic for cold season dormancy","hot season dormancy?","source/logic for hot season dormancy","highland specialist","Pelagic habitat (for marine species)","source/logic for highland specialist","notes","origGenus","origSpecies","Terrestriality (available for mammals only; see panTHERIA metadata)","pantheria05Genus","pantheria05Species","pantheria93Genus","pantheria93Species","allPantheriaSynonyms05","pantheriaReferences","binaryName","TRY species number (for plants)","notes on body size (e.g. type of metric)","genus_species","limit_type"
"Susana","Halozetes","belgicae","Ameronothridae","Intertidal","Animalia","Arthropoda","Arachnida","Acarina","0.07","Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5","herbivore","Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.593-601.","Non-migratory",NA,"0-1","Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally","Walking","** for the more tricky ones (i.e. more than one dispersal type), refs are given",NA,NA,NA,NA,"No",NA,"Mercer et al (2000) Polar Biology 23: 775-784","Body size is mean length in ë_m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean","Halozetes_belgicae","max, min"
"Susana","Clubiona","diversa","Clubionidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.5","Pickard-Cambridge (1862) Zoologist 20: 7951-7968; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","http://www.jorgenlissner.dk/clubionidae.aspx","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Buchholz (2007) Acta Zoologica Bulgarica 59: 241-252","Body size is in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Clubiona_diversa","max, min"
"Susana","Clubiona","trivialis","Clubionidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.41","Almquist (2006) Insect Systematics and Evolution, Supplement 63: 285-601; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","http://www.jorgenlissner.dk/clubionidae.aspx","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Cherrett (1964) Journal of Animal Ecology 33: 27-48","Body size is total length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean female","Clubiona_trivialis","max, min"
"Susana","Phrurolithus","festivus","Corinnidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.32","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Elgar (1994) Memoirs of the Queensland Museum 33: 411-430","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Phrurolithus_festivus","max"
"Susana","Oedothorax","apicatus","Linyphiidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.35","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Everts et al. (1991) Archives of Environmental Contamination and Toxicology 20: 13-19","Non-migratory",NA,"10+ km","Blandenier and Furst (1998) Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997, pp 178-186; Large dispersal distances when using aerial dispersal methods","Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Oedothorax_apicatus","max, min"
"Susana","Prinerigone","vagans","Linyphiidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.3","Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Jumbam et al (2008) Polar Biology 31: 215-220","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Khoza et al (2005) Koedoe 48: 103-107","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Prinerigone_vagans","max, min"
"Susana","Stemonyphantes","lineatus","Linyphiidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.75","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Wise (1995) Spiders in Ecological Webs. Cambridge University Press","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Stemonyphantes_lineatus","max, min"
"Susana","Agroeca","proxima","Liocranidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.35","Almquist (1971) Oikos 22: 225-229","carnivore","Harvey, P. R., Nellist, D. R., & Telfer, M. G. (2002).åÊProvisional atlas of British spiders (Arachnida, Araneae), Volume 2. Biological Records Centre, Centre for Ecology and Hydrology.","Non-migratory",NA,NA,NA,"Walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232",NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean","Agroeca_proxima","max, min"
"Susana","Scotina","gracilipes","Liocranidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.38","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Wise (1995) Spiders in Ecological Webs. Cambridge University Press","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Scotina_gracilipes","max, min"
"Susana","Pardosa","nigriceps","Lycosidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.68","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","http://www.jorgenlissner.dk/Lycosidae.aspx","Non-migratory",NA,"10+ km","Richter (1970) Oecologia 5: 200-214; Large dispersal distances when using aerial dispersal methods","Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Pardosa_nigriceps","max, min"
