"longitude","latitude","mean_temp"
-179.5,-89.5,-49.0029295563009
-179.5,-88.5,-49.7181194174796
-179.5,-87.5,-47.5676338143105
-179.5,-86.5,-44.1578265296625
-179.5,-85.5,-40.0255090310113
-179.5,-84.5,-27.2283024414805
-179.5,-83.5,-24.4848571454525
-179.5,-82.5,-26.2500334785984
-179.5,-81.5,-27.538549880322
-179.5,-80.5,-28.1472574448344
-179.5,-79.5,-27.7803458283441
-179.5,-78.5,-26.2521024276073
-179.5,-77.5,NA
-179.5,-76.5,NA
-179.5,-75.5,NA
-179.5,-74.5,NA
-179.5,-73.5,NA
-179.5,-72.5,NA
-179.5,-71.5,NA
-179.5,-70.5,NA
-179.5,-69.5,NA
-179.5,-68.5,NA
-179.5,-67.5,NA
-179.5,-66.5,NA
-179.5,-65.5,NA
-179.5,-64.5,NA
-179.5,-63.5,NA
-179.5,-62.5,NA
-179.5,-61.5,NA
-179.5,-60.5,NA
-179.5,-59.5,NA
-179.5,-58.5,NA
-179.5,-57.5,NA
-179.5,-56.5,NA
-179.5,-55.5,NA
-179.5,-54.5,NA
-179.5,-53.5,NA
-179.5,-52.5,NA
-179.5,-51.5,NA
-179.5,-50.5,NA
-179.5,-49.5,NA
-179.5,-48.5,NA
-179.5,-47.5,NA
-179.5,-46.5,NA
-179.5,-45.5,NA
-179.5,-44.5,NA
-179.5,-43.5,NA
-179.5,-42.5,NA
-179.5,-41.5,NA
-179.5,-40.5,NA
-179.5,-39.5,NA
-179.5,-38.5,NA
-179.5,-37.5,NA
-179.5,-36.5,NA
-179.5,-35.5,NA
-179.5,-34.5,NA
-179.5,-33.5,NA
-179.5,-32.5,NA
-179.5,-31.5,NA
-179.5,-30.5,NA
-179.5,-29.5,NA
-179.5,-28.5,NA
-179.5,-27.5,NA
-179.5,-26.5,NA
-179.5,-25.5,NA
-179.5,-24.5,NA
-179.5,-23.5,NA
-179.5,-22.5,NA
-179.5,-21.5,NA
-179.5,-20.5,NA
-179.5,-19.5,NA
-179.5,-18.5,NA
-179.5,-17.5,NA
-179.5,-16.5,NA
-179.5,-15.5,NA
-179.5,-14.5,NA
-179.5,-13.5,NA
-179.5,-12.5,NA
-179.5,-11.5,NA
-179.5,-10.5,NA
-179.5,-9.5,NA
-179.5,-8.5,NA
-179.5,-7.5,NA
-179.5,-6.5,NA
-179.5,-5.5,NA
-179.5,-4.5,NA
-179.5,-3.5,NA
-179.5,-2.5,NA
-179.5,-1.5,NA
-179.5,-0.5,NA
-179.5,0.5,NA
-179.5,1.5,NA
-179.5,2.5,NA
-179.5,3.5,NA
-179.5,4.5,NA
-179.5,5.5,NA
-179.5,6.5,NA
-179.5,7.5,NA
-179.5,8.5,NA
-179.5,9.5,NA
-179.5,10.5,NA
-179.5,11.5,NA
-179.5,12.5,NA
-179.5,13.5,NA
-179.5,14.5,NA
-179.5,15.5,NA
-179.5,16.5,NA
-179.5,17.5,NA
-179.5,18.5,NA
-179.5,19.5,NA
-179.5,20.5,NA
-179.5,21.5,NA
-179.5,22.5,NA
-179.5,23.5,NA
-179.5,24.5,NA
-179.5,25.5,NA
-179.5,26.5,NA
-179.5,27.5,NA
-179.5,28.5,NA
-179.5,29.5,NA
-179.5,30.5,NA
-179.5,31.5,NA
-179.5,32.5,NA
-179.5,33.5,NA
-179.5,34.5,NA
-179.5,35.5,NA
-179.5,36.5,NA
-179.5,37.5,NA
-179.5,38.5,NA
-179.5,39.5,NA
-179.5,40.5,NA
-179.5,41.5,NA
-179.5,42.5,NA
-179.5,43.5,NA
-179.5,44.5,NA
-179.5,45.5,NA
-179.5,46.5,NA
-179.5,47.5,NA
-179.5,48.5,NA
-179.5,49.5,NA
-179.5,50.5,NA
-179.5,51.5,NA
-179.5,52.5,NA
-179.5,53.5,NA
-179.5,54.5,NA
-179.5,55.5,NA
-179.5,56.5,NA
-179.5,57.5,NA
-179.5,58.5,NA
-179.5,59.5,NA
-179.5,60.5,NA
-179.5,61.5,NA
-179.5,62.5,NA
-179.5,63.5,NA
-179.5,64.5,NA
-179.5,65.5,-4.73705245307684
-179.5,66.5,-8.03561613247524
-179.5,67.5,-9.95400858299745
-179.5,68.5,-10.559628441461
-179.5,69.5,NA
-179.5,70.5,-10.1885125951188
-179.5,71.5,-10.7356342975009
-179.5,72.5,NA
-179.5,73.5,NA
-179.5,74.5,NA
-179.5,75.5,NA
-179.5,76.5,NA
-179.5,77.5,NA
-179.5,78.5,NA
-179.5,79.5,NA
-179.5,80.5,NA
-179.5,81.5,NA
-179.5,82.5,NA
-179.5,83.5,NA
-179.5,84.5,NA
-179.5,85.5,NA
-179.5,86.5,NA
-179.5,87.5,NA
-179.5,88.5,NA
-179.5,89.5,NA
-178.5,-89.5,-48.9777026861765
-178.5,-88.5,-49.6979097334964
-178.5,-87.5,-47.4810044917942
-178.5,-86.5,-44.0391509249982
-178.5,-85.5,-38.579951494457
-178.5,-84.5,-26.8168606490745
-178.5,-83.5,-24.5153575004673
-178.5,-82.5,-26.374911212947
-178.5,-81.5,-27.6255983673179
-178.5,-80.5,-28.2248646482388
-178.5,-79.5,-27.8515452661276
-178.5,-78.5,-26.2685815339758
-178.5,-77.5,NA
-178.5,-76.5,NA
-178.5,-75.5,NA
-178.5,-74.5,NA
-178.5,-73.5,NA
-178.5,-72.5,NA
-178.5,-71.5,NA
-178.5,-70.5,NA
-178.5,-69.5,NA
-178.5,-68.5,NA
-178.5,-67.5,NA
-178.5,-66.5,NA
-178.5,-65.5,NA
-178.5,-64.5,NA
-178.5,-63.5,NA
-178.5,-62.5,NA
-178.5,-61.5,NA
-178.5,-60.5,NA
-178.5,-59.5,NA
-178.5,-58.5,NA
-178.5,-57.5,NA
-178.5,-56.5,NA
-178.5,-55.5,NA
-178.5,-54.5,NA
-178.5,-53.5,NA
-178.5,-52.5,NA
-178.5,-51.5,NA
-178.5,-50.5,NA
-178.5,-49.5,NA
-178.5,-48.5,NA
-178.5,-47.5,NA
-178.5,-46.5,NA
-178.5,-45.5,NA
