"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo","hot_acc_temp","hot_acc_temp_dormancy"
-179.5,-89.5,-22.9159634651882,-51.2904929544245,-22.9159634651882,-25.2870132806127,-50.9724125475357
-179.5,-88.5,-24.8826348135159,-51.0026488491467,-24.8826348135159,-43.6843523381795,-50.7214979877268
-179.5,-87.5,-24.0690566324052,-48.1506562139307,-24.0690566324052,-41.4169334996982,-47.9031413644552
-179.5,-86.5,-21.9228201375831,-44.2849754554885,-21.9228201375831,-38.0389433393138,-44.0645533090823
-179.5,-85.5,-18.9058482209841,-39.9660210947373,-18.9058482209841,-34.0495623953225,-39.7573962264428
-179.5,-84.5,-6.50670179196057,-26.9474138364196,-6.50670179196057,-21.1453434367375,-26.7337358982302
-179.5,-83.5,-2.07613781598352,-23.4887665714536,-2.07613781598352,-17.3095020327842,-23.2303742624154
-179.5,-82.5,-3.11358165663357,-25.7417458576815,-3.11358165663357,-19.1398557545767,-25.4120206802152
-179.5,-81.5,-3.902758099529,-27.0829314806632,-3.902758099529,-20.3025771341202,-27.0241766735579
-179.5,-80.5,-4.20354074104911,-27.2281867379589,-4.20354074104911,-20.546037258697,-27.1948517258512
-179.5,-79.5,-3.77925684178425,-25.932967158407,-3.77925684178425,-19.5191825947235,-25.9245984759182
-179.5,-78.5,-2.68669302569968,-24.9270511051374,-2.68669302569968,-4.64477262871795,-24.9007093335768
-179.5,65.5,14.6343992923919,-3.67065622912986,14.6343992923919,14.05008490779,-3.64939593825755
-179.5,66.5,15.9929411177656,-4.7291519955865,15.9929411177656,14.9132797651169,-5.36338674653255
-179.5,67.5,15.5353048336692,-5.83908839289631,15.5353048336692,14.1421597437305,-6.50116314838773
-179.5,68.5,13.1923815027012,-6.9124436384333,13.1923815027012,11.8762545010998,-7.53469022596255
-179.5,70.5,5.41316165359957,-6.59111891239881,5.41316165359957,4.89294391913224,-6.46398881488214
-179.5,71.5,7.3872683546905,-8.03292575712715,7.3872683546905,6.39368597712499,-8.53996942821624
-178.5,-89.5,-22.9067397598709,-51.2600726800306,-22.9067397598709,-25.2777414713975,-50.942173557529
-178.5,-88.5,-24.9161797644837,-50.9482073598674,-24.9161797644837,-43.6544454613483,-50.6682037379896
-178.5,-87.5,-24.0910601632936,-47.9961453324982,-24.0910601632936,-41.3116364941172,-47.7511313954634
-178.5,-86.5,-21.9655091022807,-44.0601833300931,-21.9655091022807,-37.8891949369363,-43.8436375517548
-178.5,-85.5,-17.7842065495395,-38.4165465709886,-17.7842065495395,-32.6180674159946,-38.2137962006698
-178.5,-84.5,-6.33032869144476,-26.2802960208484,-6.33032869144476,-20.6114998981939,-26.0734429112103
-178.5,-83.5,-2.31454662309871,-23.3869618566441,-2.31454662309871,-17.2959739470731,-23.1340167509724
-178.5,-82.5,-3.35925841964781,-25.8189922281674,-3.35925841964781,-19.2537253372147,-25.4931290868404
-178.5,-81.5,-4.09048320604932,-27.1785720339843,-4.09048320604932,-20.4023218741993,-27.1122434590012
-178.5,-80.5,-4.37220035209542,-27.3005025748163,-4.37220035209542,-20.6170942778158,-27.260731270284
-178.5,-79.5,-3.9633450408067,-26.006444289216,-3.9633450408067,-19.5889154361558,-25.9935783634095
-178.5,-78.5,-2.82307069940226,-25.1455244326166,-2.82307069940226,-4.7479192857181,-25.1142039145608
-178.5,65.5,13.3653846827136,-2.50710777108158,13.3653846827136,12.7036864666886,-2.52909599220646
-178.5,66.5,15.9132825408131,-4.65456976065678,15.9132825408131,14.9344237555104,-5.27794267887782
-178.5,67.5,15.8253259423322,-5.40788185191507,15.8253259423322,14.4179131294474,-6.06245366201744
-178.5,68.5,12.082298369546,-6.98137189288224,12.082298369546,10.6801316054506,-7.56101742414758
-178.5,71.5,7.00159546929811,-8.06247200194214,7.00159546929811,6.54347425415173,-8.55950417985608
-177.5,-89.5,-22.9052847625954,-51.2199380233884,-22.9052847625954,-25.2757734423627,-50.9023856529833
-177.5,-88.5,-24.9614110826027,-50.8764692214983,-24.9614110826027,-43.6147716192693,-50.5978860485002
-177.5,-87.5,-24.0762913594643,-47.8157371396465,-24.0762913594643,-41.1775900814369,-47.5731133828339
