"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
-179.5,-89.5,-67.5105020870055,-63.23530862821,-67.5105020870055,-66.9944798668275,-63.3524609396168
-179.5,-88.5,-67.3912171654536,-62.9773170637233,-67.3912171654536,-66.8707502705614,-63.0807682816205
-179.5,-87.5,-64.8151651707345,-60.1691668336945,-64.8151651707345,-64.2717765503281,-60.2636334360843
-179.5,-86.5,-61.3287693403129,-56.332210369621,-61.3287693403129,-60.7506558662684,-56.4208450527995
-179.5,-85.5,-57.4006728577261,-51.9647472713941,-57.4006728577261,-56.7910415110511,-52.0586028437363
-179.5,-84.5,-44.8110637583903,-38.9124860028071,-44.8110637583903,-44.1735243932633,-39.0211210364709
-179.5,-83.5,-41.8069126642708,-35.5037931721125,-41.8069126642708,-41.1687960443829,-35.6495908219683
-179.5,-82.5,-44.592418448148,-37.8443001144167,-44.592418448148,-43.9661451677923,-38.0385012587466
-179.5,-81.5,-46.5218160018325,-39.2925197544375,-46.5218160018325,-45.6629718573013,-39.5443037212968
-179.5,-80.5,-47.1954651200346,-39.7652985655304,-47.1954651200346,-46.3391546241049,-40.0576826701606
-179.5,-79.5,-46.1822095221707,-38.8824450094785,-46.1822095221707,-45.6104782584095,-39.1947224432237
-179.5,-78.5,-45.5442297331989,-38.0610888774906,-45.5442297331989,-44.2455461155308,-38.3966749223747
-179.5,65.5,-25.0717739412827,-14.2313432008028,-25.0717739412827,-23.9341167921917,-14.516208738368
-179.5,66.5,-29.0827372346606,-18.0446705055024,-29.0827372346606,-28.4232701939166,-17.6669756924268
-179.5,67.5,-32.1738221042923,-20.2733861156872,-32.1738221042923,-20.6222499594427,-19.8806883648304
-179.5,68.5,-33.2519917878721,-20.4719595125743,-33.2519917878721,-21.9084063150211,-20.1021198180371
-179.5,70.5,-31.4319031212612,-20.5255484871034,-31.4319031212612,-30.6337228854345,-20.9198927321405
-179.5,71.5,-32.6700993063194,-20.2764106336648,-32.6700993063194,-32.028722378399,-19.9186303240696
-178.5,-89.5,-67.4808096192777,-63.2083880388311,-67.4808096192777,-66.9644336568943,-63.3253008112544
-178.5,-88.5,-67.338214992627,-62.9390240543655,-67.338214992627,-66.815936876352,-63.0414256165203
-178.5,-87.5,-64.6637421349596,-60.0476171635357,-64.6637421349596,-64.1164823150938,-60.14006072338
-178.5,-86.5,-61.1122462048062,-56.1565566797342,-61.1122462048062,-60.5280603802843,-56.242359565265
-178.5,-85.5,-55.873347787273,-50.4922204878181,-55.873347787273,-55.2531187504352,-50.5821552208675
-178.5,-84.5,-44.1694292723068,-38.3071707239108,-44.1694292723068,-43.5204956436674,-38.412471306793
-178.5,-83.5,-41.7326140755388,-35.4458378770921,-41.7326140755388,-41.0840914273238,-35.5902262510877
-178.5,-82.5,-44.7070043421217,-37.9444064514046,-44.7070043421217,-44.0690857343326,-38.139413905034
