"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
-76.5,83.5,-39.5152388059667,-28.0019137918949,-39.5152388059667,-38.3176300926658,-27.7491408973533
-75.5,83.5,-39.5750863000751,-28.0966170281172,-39.5750863000751,-38.359035609287,-27.847398374682
-72.5,83.5,-39.3732903793454,-28.0015385338238,-39.3732903793454,-38.140774184965,-27.7635181315243
-71.5,83.5,-39.1618399390153,-27.7997082444174,-39.1618399390153,-37.8979612354848,-27.5683546900084
-70.5,83.5,-38.9918742643935,-27.6773560326014,-38.9918742643935,-37.7510593306938,-27.4488098571501
-46.5,83.5,-38.2721640161106,-27.9590309243117,-38.2721640161106,-37.2722550523481,-27.7818972354489
-45.5,83.5,-38.3779071988272,-28.0277466225172,-38.3779071988272,-37.2836817087539,-27.8593222924209
-44.5,83.5,-38.4976805907541,-28.1573501746037,-38.4976805907541,-37.3681140822329,-27.9933606746149
-43.5,83.5,-38.699875651453,-28.41027061278,-38.699875651453,-37.602564126116,-28.2459405384392
-42.5,83.5,-38.811590199412,-28.5741227371352,-38.811590199412,-37.737412406766,-28.4100540669369
-41.5,83.5,-38.9744947824627,-28.8093347299312,-38.9744947824627,-37.9439350819996,-28.6438440630345
-40.5,83.5,-39.2398932192342,-29.1488305399494,-39.2398932192342,-38.2479544711006,-28.9821742100017
-39.5,83.5,-39.5180924946442,-29.5047328546377,-39.5180924946442,-38.426268288117,-29.3350421988339
-38.5,83.5,-40.2054933252079,-30.27437056005,-40.2054933252079,-39.1669668541452,-30.1009133386592
-37.5,83.5,-40.7850233231272,-30.9225748123867,-40.7850233231272,-39.7771177183523,-30.7471599577194
-36.5,83.5,-41.2147058100307,-31.4017314585192,-41.2147058100307,-40.2172275090859,-31.2266569684858
-35.5,83.5,-41.5286691531539,-31.7522825264505,-41.5286691531539,-40.52491870802,-31.5791221958319
-34.5,83.5,-41.3637165373457,-31.5981402601515,-41.3637165373457,-40.3376410673853,-31.4298051966953
-33.5,83.5,-41.2466380213021,-31.4713424746479,-41.2466380213021,-40.1631469158942,-31.3105463257858
