"genus_species","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes"
"Carpiodes_cyprinus",NA,"Sally","Carpiodes","cyprinus","Catostomidae","Animalia","Chordata","Actinopterygii","Cypriniformes",66,"fishbase",NA,"omnivore","fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimephales_promelas",NA,"Sally","Pimephales","promelas","Cyprinidae","Animalia","Chordata","Actinopterygii","Cypriniformes",10.1,"fishbase",NA,"omnivore","fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprinodon_macularius",NA,"Sally","Cyprinodon","macularius","Cyprinodontidae","Animalia","Chordata","Actinopterygii","Cyprinodontiformes",5,"fishbase",NA,NA,"fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Floridichthys_carpio","Marine","Sally","Floridichthys","carpio","Cyprinodontidae","Animalia","Chordata","Actinopterygii","Cyprinodontiformes",8,"fishbase",NA,NA,"fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max","Nikki","coastal","brackish water","fishbase",0,-2,NA,"https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3304",NA,NA,NA,"benthopelagic",NA,"listed freshwater but marine in thermal data - brackish water"
"Gambusia_yucatana",NA,"Sally","Gambusia","yucatana","Poeciliidae","Animalia","Chordata","Actinopterygii","Cyprinodontiformes",5.5,"fishbase",NA,NA,"fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poeciliopsis_occidentalis",NA,"Sally","Poeciliopsis","occidentalis","Poeciliidae","Animalia","Chordata","Actinopterygii","Cyprinodontiformes",6,"fishbase",NA,NA,"fishbase","N",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypomesus_nipponensis",NA,"Sally","Hypomesus","nipponensis","Osmeridae","Animalia","Chordata","Actinopterygii","Osmeriformes",17,"fishbase",NA,NA,"fishbase","Y","anadromous",NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepomis_gibbosus",NA,"Sally","Lepomis","gibbosus","Centrarchidae","Animalia","Chordata","Actinopterygii","Perciformes",40,"fishbase",NA,"carnivore","fishbase","Y","potamodromous","1-10","freshwater and restricted by temperature","swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,"N",NA,"max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus_tshawytscha","Marine","Jenn","Oncorhynchus","tshawytscha","Salmonidae","Animalia","Chordata","Actinopterygii","Salmoniformes",150,"fishbase",NA,"carnivore","fishbase","yes","Anadromous (Fishbase)",NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,NA,"max, min","Nikki","coastal","migrates to coast","fishbase",0,-375,NA,"fishbase",NA,NA,NA,"benthopelagic",NA,"listed freshwater but marine in thermal data - migrates to ocean (range includes coastal areas)"
"Alosa_pseudoharengus",NA,"Jenn","Alosa","pseudoharengus","Cottidae","Animalia","Chordata","Actinopterygii","Scorpaeniformes",40,"fishbase",NA,"carnivore","fishbase","yes","Anadromous (Fishbase)",NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,NA,"max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cottus_cognatus",NA,"Jenn","Cottus","cognatus","Cottidae","Animalia","Chordata","Actinopterygii","Scorpaeniformes",12.1,"fishbase",NA,"omnivore","fishbase","no?","Anadromous? (Biology description on Fishbase)",NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,NA,"max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameiurus_melas",NA,"Jenn","Ameiurus","melas","Ictaluridae","Animalia","Chordata","Actinopterygii","Siluriformes",66,"fishbase",NA,"omnivore","fishbase","no",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameiurus_natalis",NA,"Jenn","Ameiurus","natalis","Ictaluridae","Animalia","Chordata","Actinopterygii","Siluriformes",60,"fishbase",NA,"carnivore","fishbase","no",NA,NA,NA,"swimming",NA,"No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,NA,"max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes_belgicae","Intertidal","Susana","Halozetes","belgicae","Ameronothridae","Animalia","Arthropoda","Arachnida","Acarina",0.07,"Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5","Body size is mean length","herbivore","Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.","Non-migratory","taxa","0-1","oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894","walking","mite","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","Mercer et al (2000) Polar Biology 23: 775-784","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"intertidal","?","sealifebase says benthic"
"Hemigrapsus_nudus","Intertidal","Jenn","Hemigrapsus","nudus","Varunidae","Animalia","Arthropoda","Malacostraca","Decapoda",0.1342,"Oliver and Schmelter (2018)","mean carapace width","omnivore","Yamada and Boulding (1998) Journal of Experimental Marine Biology and Ecology 220(2): 191-211","Non-migratory","do migrate offshore seasonally, but would likely not affect realized range (Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130)","10-100","minimum PLD in water column is 30 days, benthic crustacean with planktonic larvae - Kelly, R. P., & Palumbi, S. R. (2010). Genetic structure among 50 species of the northeastern Pacific rocky intertidal community. PloS one, 5(1), e8594.","pelagic development and crawling adults","pelagic larval development - Lehto, J., Sulkin, S., Strom, S., & Johnson, D. (1998). Protists and detrital particles as prey for the first larval stage of the brachyuran crab, Hemigrapsus oregonensis. Journal of experimental marine biology and ecology, 230(2), 213-224.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic","sealifebase",NA
