"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Intertidal","Actinopterygii","Perciformes","Gobiidae","Gobius","cobitis",NA,33.7,NA,"ct","GBIF",40.9772151870356,80,2.64617479738412,100,"No",NA,-2.5299987792969,NA,NA,NA,NA,-5.73,NA,NA,NA
"Intertidal","Asteroidae","Valvatida","Asterinidae","Patiriella","brevispina",NA,30,NA,"ct","GBIF",37.4631465342983,32,1.64865862558738,100,"No",NA,-2.8700008392334,NA,NA,NA,NA,-7.98,NA,NA,NA
"Intertidal","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis",-8.2,30.5,"lt","lt","GBIF",58.9713667113175,356,1.38629436111989,1000,"No","No",1.409912109375,36.5776863098145,-3.90899957153015,0.000230614412701891,NA,NA,NA,NA,NA
"Intertidal","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis",-8.2,30.5,"lt","lt","GBIF",58.9713667113175,356,1.38629436111989,1000,"No","No",1.409912109375,36.5776863098145,-3.90899957153015,0.000230614412701891,NA,NA,NA,NA,NA
"Intertidal","Bivalvia","Pteriomorpha","Arcidae","Barbatia","pistachia",6.01,36.87,"lt","lt","GBIF",35.1577057380651,39,1.50006937537874,100,"No","No",-3.7140083312988,8.03971409797668,-5.74407099357031,0.044999188539223,NA,NA,NA,NA,NA
"Intertidal","Bivalvia","Pteriomorpha","Arcidae","Barbatia","pistachia",6.01,36.87,"lt","lt","GBIF",35.1577057380651,39,1.50006937537874,100,"No","No",-3.7140083312988,8.03971409797668,-5.74407099357031,0.044999188539223,NA,NA,NA,NA,NA
"Intertidal","Bivalvia","Veneroida","Cardiidae","Cerastoderma","edule",-6.18,33.98,"lt","lt","GBIF",49.4578045850014,125,0.598836501088704,1000,"No","No",0.877120971679702,13.7888331413269,-4.42323317063321,0.008562414959843,NA,-9.48099,10.37073,-4.27421213005449,0.0188551746999691
"Intertidal","Bivalvia","Veneroida","Cardiidae","Cerastoderma","edule",-6.18,33.98,"lt","lt","GBIF",49.4578045850014,125,0.598836501088704,1000,"No","No",0.877120971679702,13.7888331413269,-4.42323317063321,0.008562414959843,NA,-9.48099,10.37073,-4.27421213005449,0.0188551746999691
"Intertidal","Bivalvia","Veneroida","Lucinidae","Anodontia","bullula",7.17,36.31,"lt","lt","GBIF",15.0469085802848,43,0.916290731874155,1000,"No","No",1.9373741149902,-0.39735126495361,-4.31712768823055,0.0187296612078427,NA,-2.06704,-6.00072,-4.41096433641834,0.0127200067598802
"Intertidal","Bivalvia","Veneroida","Lucinidae","Anodontia","bullula",7.17,36.31,"lt","lt","GBIF",15.0469085802848,43,0.916290731874155,1000,"No","No",1.9373741149902,-0.39735126495361,-4.31712768823055,0.0187296612078427,NA,-2.06704,-6.00072,-4.41096433641834,0.0127200067598802
"Intertidal","Bivalvia","Veneroida","Tellinidae","Macoma","balthica",-7.01,30.97,"lt","lt","GBIF",56.1882707851773,497,1.33500106673234,100,"No","No",-0.164644241333001,36.9136137962342,-4.50409341128943,-0.00135484395827201,NA,-7.69572,33.2853,-4.42390070714494,0.0118786413329757
"Intertidal","Bivalvia","Veneroida","Tellinidae","Macoma","balthica",-7.01,30.97,"lt","lt","GBIF",56.1882707851773,497,1.33500106673234,100,"No","No",-0.164644241333001,36.9136137962342,-4.50409341128943,-0.00135484395827201,NA,-7.69572,33.2853,-4.42390070714494,0.0118786413329757
"Intertidal","Bivalvia","Veneroida","Tellinidae","Tellina","tenuis",NA,27.57,NA,"lt","GBIF",50.8066448915062,197,0.955511445027436,100,"No",NA,3.6400012969971,NA,NA,NA,NA,NA,NA,NA,NA
"Intertidal","Gastropoda","Archaeogastropoda","Muricidae","Nucella","lapillus",-6.4,28.2,"lt","lt","GBIF",55.3157160854747,268,1.43508452528932,100,"No","No",6.8910064697265,32.4509725570679,-3.76641903156935,-0.0174214759726788,NA,NA,NA,NA,NA
