"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-0.549359287768234,0.442984162884082,0.307860719400339,"Terrestrial",-0.207876027588701,2.33494957547821,274,"ct","Reptilia","Squamata","Viperidae","Agkistrodon","contortrix","Agkistrodon_contortrix_IUCN",0.291608063759963
-2.15706155132426,1.30027609057463,2.00032350008645,"Terrestrial",-0.207876027588701,-2.60153642423158,328,"mixed","Arachnida","Araneae","Liocranidae","Agroeca","proxima","Agroeca_proxima_GBIF",0.20484232777805
-2.8486990614956,2.69812456130224,-1.48579793514614,"Terrestrial",-0.251287888771884,1.98209163787865,71,"ct","Reptilia","Squamata","Teiidae","Ameiva","festiva","Ameiva_festiva_GBIF",0.466334164588529
-2.39333945626251,2.70851520924823,-0.151747859022041,"Terrestrial",-0.251287888771884,2.27115261158595,73,"ct","Reptilia","Squamata","Agamidae","Amphibolurus","muricatus","Amphibolurus_muricatus_IUCN",0.234426389024034
-4.31712768823055,1.01679976899872,-1.20775732139846,"Intertidal",4.56742870256138,-0.971724391358195,43,"lt","Bivalvia","Veneroida","Lucinidae","Anodontia","bullula","Anodontia_bullula_GBIF",0.0187296612078427
-2.99573227355399,1.00144854021446,-0.94931990031332,"Terrestrial",-0.251287888771884,-0.318131547405193,6,"ct","Reptilia","Squamata","Dactyloidae","Anolis","barbouri","Anolis_barbouri_GARD",0.105442176870749
-1.80318816505168,1.82595083397633,-0.304423552659022,"Terrestrial",-0.251287888771884,-0.0610281809498612,140,"ct","Reptilia","Squamata","Dactyloidae","Anolis","carolinensis","Anolis_carolinensis_IUCN",0.510656436487638
-2.04475598369195,-1.00692800597909,-1.38709002975572,"Terrestrial",-0.251287888771884,-0.288522992317763,16,"ct","Reptilia","Squamata","Dactyloidae","Anolis","cupreus","Anolis_cupreus_GARD",-0.170870113493064
-2.0949457282158,-1.89711998488588,-1.66615112237587,"Terrestrial",-0.251287888771884,-0.484477804207899,9,"ct","Reptilia","Squamata","Dactyloidae","Anolis","humilis","Anolis_humilis_GARD",-0.326923076923077
-3.34403896782221,-0.55206858230004,-1.55860848257374,"Terrestrial",-0.251287888771884,-0.333342091854541,3,"ct","Reptilia","Squamata","Dactyloidae","Anolis","intermedius","Anolis_intermedius_GARD",-0.0223285486443381
-3.10009228887823,3.47665776324645,-1.31442250292815,"Terrestrial",-0.251287888771884,-0.017956081878968,57,"ct","Reptilia","Squamata","Dactyloidae","Anolis","lemurinus","Anolis_lemurinus_GARD",0.530256492081854
-4.21754499600826,1.7845317661066,-1.46431583346304,"Terrestrial",-0.251287888771884,-0.380723639843688,22,"ct","Reptilia","Squamata","Dactyloidae","Anolis","limifrons","Anolis_limifrons_GARD",0.0616388409134523
