"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-0.549359287768234,0.442984162884082,35.4443343135,"Terrestrial",10,4.90527477843843,274,"ct","Reptilia","Squamata","Viperidae","Agkistrodon","contortrix","Agkistrodon_contortrix_IUCN",0.291608063759963
-2.15706155132426,1.30027609057463,58.2217643426921,"Terrestrial",10,-1.04982212449868,328,"mixed","Arachnida","Araneae","Liocranidae","Agroeca","proxima","Agroeca_proxima_GBIF",0.20484232777805
-2.8486990614956,2.69812456130224,11.3049943135829,"Terrestrial",1,4.47960696301275,71,"ct","Reptilia","Squamata","Teiidae","Ameiva","festiva","Ameiva_festiva_GBIF",0.466334164588529
-2.39333945626251,2.70851520924823,29.2588498495,"Terrestrial",1,4.8283137373023,73,"ct","Reptilia","Squamata","Agamidae","Amphibolurus","muricatus","Amphibolurus_muricatus_IUCN",0.234426389024034
-4.31712768823055,1.01679976899872,15.0469085802848,"Intertidal",1000,0.916290731874155,43,"lt","Bivalvia","Veneroida","Lucinidae","Anodontia","bullula","Anodontia_bullula_GBIF",0.0187296612078427
-2.99573227355399,1.00144854021446,18.525,"Terrestrial",1,1.70474809223843,6,"ct","Reptilia","Squamata","Dactyloidae","Anolis","barbouri","Anolis_barbouri_GARD",0.105442176870749
-1.80318816505168,1.82595083397633,27.2041163755001,"Terrestrial",1,2.01490302054226,140,"ct","Reptilia","Squamata","Dactyloidae","Anolis","carolinensis","Anolis_carolinensis_IUCN",0.510656436487638
-2.04475598369195,-1.00692800597909,12.6334208137196,"Terrestrial",1,1.7404661748405,16,"ct","Reptilia","Squamata","Dactyloidae","Anolis","cupreus","Anolis_cupreus_GARD",-0.170870113493064
-2.0949457282158,-1.89711998488588,8.87777278201004,"Terrestrial",1,1.50407739677627,9,"ct","Reptilia","Squamata","Dactyloidae","Anolis","humilis","Anolis_humilis_GARD",-0.326923076923077
-3.34403896782221,-0.55206858230004,10.3250985260093,"Terrestrial",1,1.68639895357023,3,"ct","Reptilia","Squamata","Dactyloidae","Anolis","intermedius","Anolis_intermedius_GARD",-0.0223285486443381
-3.10009228887823,3.47665776324645,13.6113918075859,"Terrestrial",1,2.06686275947298,57,"ct","Reptilia","Squamata","Dactyloidae","Anolis","lemurinus","Anolis_lemurinus_GARD",0.530256492081854
-4.21754499600826,1.7845317661066,11.5941038133903,"Terrestrial",1,1.62924053973028,22,"ct","Reptilia","Squamata","Dactyloidae","Anolis","limifrons","Anolis_limifrons_GARD",0.0616388409134523
-2.61006979274201,-1.47181653455805,8.36645942300004,"Terrestrial",1,2.14006616349627,5,"ct","Reptilia","Squamata","Dactyloidae","Anolis","lionotus","Anolis_lionotus_IUCN",-0.220140515222483
-2.83321334405622,-0.875468737353899,10.1904175014915,"Terrestrial",1,1.77495235091167,4,"ct","Reptilia","Squamata","Dactyloidae","Anolis","tropidolepis","Anolis_tropidolepis_GARD",-0.0583333333333332
-3.3491410197061,2.1781473104853,39.633471389,"Terrestrial",1,1.98787434815435,27,"ct","Reptilia","Squamata","Elapidae","Austrelaps","superbus","Austrelaps_superbus_IUCN",0.253356812678847
-5.74407099357031,4.10765428637612,35.1577057380651,"Intertidal",100,1.50006937537874,39,"lt","Bivalvia","Pteriomorpha","Arcidae","Barbatia","pistachia","Barbatia_pistachia_GBIF",0.044999188539223
-2.82412237235496,2.07759708988119,38.709453526715,"Terrestrial",1,2.07944154167984,45,"ct","Reptilia","Squamata","Scincidae","Bassiana","duperreyi","Bassiana_duperreyi_GARD",0.397622377622378
-4.42323317063321,0.659558071577344,49.4578045850014,"Intertidal",1000,0.598836501088704,125,"lt","Bivalvia","Veneroida","Cardiidae","Cerastoderma","edule","Cerastoderma_edule_GBIF",0.008562414959843
-0.701721723984529,0.775691357941275,10.7012248919999,"Terrestrial",10,2.16332302566054,941,"ct","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","dilepis","Chamaeleo_dilepis_IUCN",0.451442296588836
-3.38339275702865,-0.538109582714459,1.40502075269033,"Terrestrial",1,3.63758615972639,18,"ct","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","jacksonii","Chamaeleo_jacksonii_GBIF",-0.0221355887405842
-2.70928974263061,-0.17773633040918,54.1010577453007,"Terrestrial",10,-0.693147180559945,216,"mixed","Arachnida","Araneae","Clubionidae","Clubiona","diversa","Clubiona_diversa_GBIF",-0.0115289776936918
-1.64009521350453,2.07680006904775,54.5491274584246,"Terrestrial",1,-0.891598119283784,1447,"mixed","Arachnida","Araneae","Clubionidae","Clubiona","trivialis","Clubiona_trivialis_GBIF",0.795153981318783
-1.6094379124341,1.0180734261841,29.1094483615001,"Terrestrial",1,1.8961194845523,69,"ct","Reptilia","Squamata","Eublepharidae","Coleonyx","brevis","Coleonyx_brevis_IUCN",0.228110599078341
-2.11815605386053,0.0510488511059073,30.3067657375,"Terrestrial",1,2.04122032885964,76,"ct","Reptilia","Squamata","Eublepharidae","Coleonyx","variegatus","Coleonyx_variegatus_IUCN",0.00611670676507803
-0.630626823578611,0.49953766399214,29.1468355615,"Terrestrial",1,1.95586047990848,146,"ct","Reptilia","Squamata","Iguanidae","Cophosaurus","texanus","Cophosaurus_texanus_IUCN",0.266806722689076
-5.74139933822751,6.43294009273918,32.207730151,"Terrestrial",1,2.28238238567653,35,"ct","Reptilia","Squamata","Cordylidae","Cordylus","cordylus","Cordylus_cordylus_IUCN",0.998392282958199
-7.14124512235049,7.14124512235049,33.251806207,"Terrestrial",1,1.93152141160321,4,"ct","Reptilia","Squamata","Cordylidae","Cordylus","oelofseni","Cordylus_oelofseni_IUCN",0.999208234362629
-1.23237010493223,1.09112216166075,56.0548917330794,"Terrestrial",1,-1.20397280432594,334,"mixed","Arachnida","Araneae","Theridiidae","Crustulina","guttata","Crustulina_guttata_GBIF",0.465533119585237
-3.53449726600922,2.20519274698539,33.0624224695,"Terrestrial",1,2.19722457733622,18,"ct","Reptilia","Squamata","Agamidae","Ctenophorus","decresii","Ctenophorus_decresii_IUCN",0.142363315696649
-2.51769647261099,4.06044301054642,26.6773791914999,"Terrestrial",1,2.07944154167984,125,"ct","Reptilia","Squamata","Scincidae","Ctenotus","taeniolatus","Ctenotus_taeniolatus_IUCN",0.982758620689655
-2.60679646739704,2.19722457733622,26.1676794195,"Terrestrial",1,2.10413415427021,121,"ct","Reptilia","Squamata","Scincidae","Ctenotus","uber","Ctenotus_uber_IUCN",0.533333333333333
-2.05034976953801,0.182482754588744,10.5329066424248,"Marine",100,2.30258509299405,406,"ct","Actinopterygii","Perciformes","Pomacentridae","Dascyllus","aruanus","Dascyllus_aruanus_GBIF",0.0237360658495149
-4.22123631407672,1.7552337878786,13.5207421030001,"Terrestrial",1,1.43508452528932,17,"mixed","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus","Dendrobates_auratus_IUCN",0.0463194578896419
-1.36801231628244,-0.101115983171172,38.5751565195,"Terrestrial",1,1.91250108692418,199,"ct","Amphibia","Caudata","Plethodontidae","Desmognathus","fuscus","Desmognathus_fuscus_IUCN",-0.0250364608653381
