"range","species","source","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","range_area_km2","lat_mp","ctmax","ctmin","limit_type","metric","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","log_range_area","log_maximum_body_size","abs_lat_mp","dispersal_distance_continuous","prop_unoccupied"
"Agkistrodon_contortrix_IUCN","Agkistrodon_contortrix","IUCN","Te",106,123,274,291,0.814814814814815,0.523206751054852,"Terrestrial",2316042,35.4443343135,40.6,6.9,"tmax, tmin","ct","Agkistrodon","contortrix","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Viperidae",135,"ADW U of Michigan","max total length","carnivore","ADW U of Michigan","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","Smith, C. F., Schuett, G. W., Earley, R. L., & Schwenk, K. (2009). The spatial and reproductive ecology of the copperhead (Agkistrodon contortrix) at the northeastern extreme of its range. Herpetological Monographs, 23(1), 45-73.","slithering","Squamate slithering tetrapod","Yes","Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908","based on species with same genus","No","no info - based on climate","","non-highland specialist","ADW",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,914,"Snake Database",NA,"terrestrial",NA,NA,5.61312810638807,4.90527477843843,35.4443343135,10,0.422680412371134
"Agroeca_proxima_GBIF","Agroeca_proxima","GBIF","acclimatized",8,2695,328,3015,0.262057877813505,0.0672032193158954,"Terrestrial",1939661,58.2217643426921,43.0876220743403,-10.9892336055211,"tmax, tmin","mixed","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.79301360838414,-1.04982212449868,58.2217643426921,10,0.893864013266998
"Agroeca_proxima_GBIF","Agroeca_proxima","GBIF","Te",26,2309,328,2611,0.281553398058252,0.0767110702802021,"Terrestrial",1939661,58.2217643426921,37.4,-6.7,"tmax, tmin","mixed","Agroeca","proxima","Susana","Sarah","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","no info - guess based on congeners","Non-migratory","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate","","non-highland specialist","Almquist (1971) Oikos 22: 225-229",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.79301360838414,-1.04982212449868,58.2217643426921,10,0.884335503638453
"Ameiva_festiva_GBIF","Ameiva_festiva","GBIF","Te",22,797,71,846,0.5,0.0336658354114713,"Terrestrial",715062,11.3049943135829,43.7,15.5,"tmax, tmin","ct","Ameiva","festiva","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Teiidae",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate","","No","no info - based on climate","","non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1435,"IUCN",NA,"terrestrial","Changed name from Ameiva festiva to Holcosus festivus",NA,4.26267987704132,4.47960696301275,11.3049943135829,1,0.942080378250591
"Amphibolurus_muricatus_IUCN","Amphibolurus_muricatus","IUCN","Te",13,597,73,657,0.251162790697674,0.0167364016736402,"Terrestrial",595237,-29.2588498495,42.3,3,"tmax, tmin","ct","Amphibolurus","muricatus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Agamidae",125,"Meiri 2008","max adult SVL","omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.","walking","Squamate walking tetrapod","Yes","Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""","No","no info - based on climate and congeners","","non-highland specialist","https://southern-highlands.naturemapr.org/Species/36738",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,4.29045944114839,4.8283137373023,29.2588498495,1,0.908675799086758
"Anodontia_bullula_GBIF","Anodontia_bullula","GBIF","acclimatized",0,3498,43,3541,0.0228245363766049,0.0101045296167247,"Intertidal",1383577,-15.0469085802848,42.15577,-10.25638,"tmax, tmin","lt","Anodontia","bullula","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Lucinidae",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding class","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,"intertidal","benthic",NA,NA,NA,3.76120011569356,0.916290731874155,15.0469085802848,1000,0.987856537701214
"Anodontia_bullula_GBIF","Anodontia_bullula","GBIF","Te",6,2737,43,2774,0.0293453724604966,0.0106157112526539,"Intertidal",1383577,-15.0469085802848,36.31,7.17,"tmax, tmin","lt","Anodontia","bullula","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Lucinidae",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding class","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,"intertidal","benthic",NA,NA,NA,3.76120011569356,0.916290731874155,15.0469085802848,1000,0.986661860129777
"Anolis_barbouri_GARD","Anolis_barbouri","GARD","Te",3,57,6,60,0.166666666666667,0.0612244897959184,"Terrestrial",12038,18.525,34.9,11.7,"tmax, tmin","ct","Anolis","barbouri","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",5.5,"Meiri 2008","max adult SVL","insectivore","10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,1.79175946922805,1.70474809223843,18.525,1,0.95
"Anolis_carolinensis_IUCN","Anolis_carolinensis","IUCN","Te",111,147,140,176,0.608695652173913,0.0980392156862745,"Terrestrial",1182018,27.2041163755001,41.7,4.7,"tmax, tmin","ct","Anolis","carolinensis","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7.5,"Meiri 2008","max adult SVL","insectivore","10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","not true hibernation - https://doi.org/10.1655/02-34","reduced activity, only active on warm days","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",46,610,"Animal Diversity",NA,"terrestrial",NA,NA,4.9416424226093,2.01490302054226,27.2041163755001,1,0.835227272727273
"Anolis_cooki_GARD","Anolis_cooki","GARD","Te",0,89,0,89,NA,NA,"Terrestrial",557,17.9786522823062,38.8,9.3,"tmax, tmin","ct","Anolis","cooki","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Dactyloidae",7,"Meiri 2008","max adult SVL","insectivore","guess based on others in genus","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (neo-tropical)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,-Inf,1.94591014905531,17.9786522823062,1,1
