"range","species","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","source","range_area_km2","lat_mp","ctmax","ctmin"
"Agkistrodon_contortrix_IUCN","Agkistrodon_contortrix","Te",106,123,274,291,0.814814814814815,0.523206751054852,"Terrestrial","IUCN",2316042,35.4443343135,40.6,6.9
"Agroeca_proxima_GBIF","Agroeca_proxima","Te",26,2309,328,2611,0.281553398058252,0.0767110702802021,"Terrestrial","GBIF",1939661,58.2217643426921,37.4,-6.7
"Ameiva_festiva_GBIF","Ameiva_festiva","Te",22,797,71,846,0.5,0.0336658354114713,"Terrestrial","GBIF",715062,11.3049943135829,43.7,15.5
"Amphibolurus_muricatus_GBIF","Amphibolurus_muricatus","Te",13,566,104,657,0.6125,0.072790294627383,"Terrestrial","GBIF",962669,-32.9493709353914,42.3,3
"Amphibolurus_muricatus_IUCN","Amphibolurus_muricatus","Te",13,597,73,657,0.251162790697674,0.0167364016736402,"Terrestrial","IUCN",595237,-29.2588498495,42.3,3
"Anolis_barbouri_GBIF","Anolis_barbouri","Te",1,58,3,60,0.111111111111111,0.0408163265306122,"Terrestrial","GBIF",10127,18.374260864788,34.9,11.7
"Anolis_barbouri_GARD","Anolis_barbouri","Te",3,57,6,60,0.166666666666667,0.0612244897959184,"Terrestrial","GARD",12038,18.525,34.9,11.7
"Anolis_carolinensis_IUCN","Anolis_carolinensis","Te",111,147,140,176,0.608695652173913,0.0980392156862745,"Terrestrial","IUCN",1182018,27.2041163755001,41.7,4.7
"Anolis_cooki_GBIF","Anolis_cooki","Te",0,89,0,89,NA,NA,"Terrestrial","GBIF",518,17.966031575893,38.8,9.3
"Anolis_cooki_GARD","Anolis_cooki","Te",0,89,0,89,NA,NA,"Terrestrial","GARD",557,17.9786522823062,38.8,9.3
"Anolis_cristatellus_GARD","Anolis_cristatellus","Te",0,85,0,85,NA,NA,"Terrestrial","GARD",9439,18.3201332092285,37.1,8.9
"Anolis_cristatellus_GBIF","Anolis_cristatellus","Te",1,85,1,85,NA,NA,"Terrestrial","GBIF",10238,18.2043655641705,37.1,8.9
"Anolis_cupreus_GARD","Anolis_cupreus","Te",5,74,16,85,0.0983606557377049,0.269230769230769,"Terrestrial","GARD",119269,12.6334208137196,38.4,11.8
"Anolis_cupreus_GBIF","Anolis_cupreus","Te",9,52,42,85,0.423728813559322,0.307692307692308,"Terrestrial","GBIF",449052,13.1360424761767,38.4,11.8
"Anolis_gundlachi_GBIF","Anolis_gundlachi","Te",0,65,0,65,NA,NA,"Terrestrial","GBIF",7283,18.191452980121,35.7,6.3
"Anolis_gundlachi_GARD","Anolis_gundlachi","Te",0,65,0,65,NA,NA,"Terrestrial","GARD",6382,18.2442308321046,35.7,6.3
"Anolis_humilis_GARD","Anolis_humilis","Te",1,57,9,65,0.0576923076923077,0.384615384615385,"Terrestrial","GARD",65157,8.87777278201004,35.6,12.4
"Anolis_humilis_GBIF","Anolis_humilis","Te",1,56,10,65,0.06,0.4,"Terrestrial","GBIF",58560,9.73818284477619,35.6,12.4
"Anolis_intermedius_GARD","Anolis_intermedius","Te",0,82,3,85,0.0303030303030303,0.0526315789473684,"Terrestrial","GARD",4835,10.3250985260093,38.4,11.1
"Anolis_lemurinus_GARD","Anolis_lemurinus","Te",12,954,57,999,0.547169811320755,0.0169133192389006,"Terrestrial","GARD",477488,13.6113918075859,37.3,12.9
