"range","high_or_low","temps","type","dormancy","realm"
"Gobius_cobitis_GBIF","high",0.119999997317791,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0299999993294477,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",-0.0899999961256981,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0799999982118607,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0899999961256981,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0199999995529652,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0899999961256981,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.149999991059303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.310000002384186,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.310000002384186,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.810000002384186,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.979999959468842,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.30999994277954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.5699999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.62999999523163,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.59999990463257,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.48000001907349,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.3199999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.22000002861023,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.37000000476837,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.38999998569489,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.41999995708466,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.54999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.55999994277954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.58999991416931,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.59999990463257,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.5699999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.68999993801117,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.74000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.73000001907349,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.52999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.12000000476837,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.16999995708466,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.14999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.20999991893768,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.329999983310699,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.399999976158142,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.469999998807907,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.519999980926514,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.439999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.170000001788139,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.00999999977648258,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0799999982118607,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.109999999403954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.199999988079071,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.199999988079071,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.149999991059303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0399999991059303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.0799999982118607,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.209999993443489,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.25,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.399999976158142,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.689999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.799999952316284,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.87000000476837,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.33999991416931,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.14999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.01999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.719999969005585,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.409999996423721,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.389999985694885,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.449999988079071,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.799999952316284,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.550000011920929,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.939999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.38999998569489,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.889999985694885,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.42999994754791,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.52999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.60999989509583,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.83999967575073,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.25,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.25,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.0699999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.5,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.11000001430511,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.05999994277954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.0900000333786,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.17999994754791,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.03999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.14999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.870000004768372,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.799999952316284,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.69999992847443,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.6599999666214,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.359999984502792,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.70999991893768,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.88999998569489,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.68999993801117,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.79999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.9099999666214,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.89999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.51999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.979999959468842,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.05999994277954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.90000009536743,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.24000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.25,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.69000005722046,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.50999975204468,"potential_reg","none","Intertidal"
