"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","limit_type","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Agkistrodon_contortrix_IUCN","Te","cold","Terrestrial",38.2879829406738,40.2330284118652,40.6,-9.90467166900635,6.94687795639038,6.9,"tmax, tmin",-1.9450454711914,0,0,2.3120170593262,0,16.8515496253967,31.3879829406738,0,"Agkistrodon contortrix","IUCN",2316042,35.4443343135
"Agroeca_proxima_GBIF","Te","cold","Terrestrial",25.765775680542,37.3881072998047,37.4,-12.5610799789429,-6.69474029541016,-6.7,"tmax, tmin",-11.6223316192627,0,0,11.634224319458,0,5.86633968353274,32.465775680542,0,"Agroeca proxima","GBIF",1939661,58.2217643426921
"Ameiva_festiva_GBIF","Te","none","Terrestrial",43.7799186706543,39.0124092102051,43.7,2.28132438659668,15.5084171295166,15.5,"tmax, tmin",0,4.7675094604492,0.079918670654294,0,0,13.2270927429199,28.2799186706543,0,"Ameiva festiva","GBIF",715062,11.3049943135829
"Amphibolurus_muricatus_GBIF","Te","cold","Terrestrial",36.3265495300293,41.4238090515137,42.3,-6.0529465675354,3.4874222278595,3,"tmax, tmin",-5.0972595214844,0,0,5.9734504699707,0,9.5403687953949,33.3265495300293,0,"Amphibolurus muricatus","GBIF",962669,-32.9493709353914
"Amphibolurus_muricatus_IUCN","Te","cold","Terrestrial",35.5676574707031,41.4238090515137,42.3,-6.0529465675354,3.4874222278595,3,"tmax, tmin",-5.8561515808106,0,0,6.7323425292969,0,9.5403687953949,32.5676574707031,0,"Amphibolurus muricatus","IUCN",595237,-29.2588498495
"Anolis_barbouri_GBIF","Te","none","Terrestrial",35.8194198608398,34.892951965332,34.9,14.1673831939697,11.8111886978149,11.7,"tmax, tmin",0,0.926467895507798,0.919419860839803,0,-2.3561944961548,0,0,-2.4673831939697,"Anolis barbouri","GBIF",10127,18.374260864788
"Anolis_barbouri_GARD","Te","none","Terrestrial",42.0235710144043,34.892951965332,34.9,14.1673831939697,11.8111886978149,11.7,"tmax, tmin",0,7.13061904907229,7.1235710144043,0,-2.3561944961548,0,0,-2.4673831939697,"Anolis barbouri","GARD",12038,18.525
"Anolis_carolinensis_IUCN","Te","none","Terrestrial",38.1461639404297,41.0109558105469,41.7,-5.38663005828857,4.71332168579102,4.7,"tmax, tmin",-2.8647918701172,0,0,3.5538360595703,0,10.0999517440796,33.4461639404297,0,"Anolis carolinensis","IUCN",1182018,27.2041163755001
"Anolis_cooki_GBIF","Te","none","Terrestrial",-Inf,38.7763252258301,38.8,Inf,9.76024532318115,9.3,"tmax, tmin",-Inf,0,0,Inf,-Inf,0,0,-Inf,"Anolis cooki","GBIF",518,17.966031575893
"Anolis_cooki_GARD","Te","none","Terrestrial",-Inf,38.7763252258301,38.8,Inf,9.76024532318115,9.3,"tmax, tmin",-Inf,0,0,Inf,-Inf,0,0,-Inf,"Anolis cooki","GARD",557,17.9786522823062
"Anolis_cristatellus_GARD","Te","none","Terrestrial",-Inf,37.0749359130859,37.1,Inf,9.75358867645264,8.9,"tmax, tmin",-Inf,0,0,Inf,-Inf,0,0,-Inf,"Anolis cristatellus","GARD",9439,18.3201332092285
"Anolis_cristatellus_GBIF","Te","none","Terrestrial",43.152416229248,37.0749359130859,37.1,14.6357641220093,9.75358867645264,8.9,"tmax, tmin",0,6.0774803161621,6.052416229248,0,-4.88217544555666,0,0,-5.7357641220093,"Anolis cristatellus","GBIF",10238,18.2043655641705
"Anolis_cupreus_GARD","Te","none","Terrestrial",42.9213218688965,38.2566680908203,38.4,13.6950092315674,11.8081607818604,11.8,"tmax, tmin",0,4.6646537780762,4.5213218688965,0,-1.886848449707,0,0,-1.8950092315674,"Anolis cupreus","GARD",119269,12.6334208137196
"Anolis_cupreus_GBIF","Te","none","Terrestrial",43.7610130310059,38.2566680908203,38.4,10.4028167724609,11.8081607818604,11.8,"tmax, tmin",0,5.5043449401856,5.3610130310059,0,0,1.4053440093995,31.9610130310059,0,"Anolis cupreus","GBIF",449052,13.1360424761767
"Anolis_gundlachi_GBIF","Te","none","Terrestrial",-Inf,35.6313896179199,35.7,Inf,7.52172565460205,6.3,"tmax, tmin",-Inf,0,0,Inf,-Inf,0,0,-Inf,"Anolis gundlachi","GBIF",7283,18.191452980121
"Anolis_gundlachi_GARD","Te","none","Terrestrial",-Inf,35.6313896179199,35.7,Inf,7.52172565460205,6.3,"tmax, tmin",-Inf,0,0,Inf,-Inf,0,0,-Inf,"Anolis gundlachi","GARD",6382,18.2442308321046
"Anolis_humilis_GARD","Te","none","Terrestrial",36.4799957275391,35.5650482177734,35.6,18.1011581420898,12.637414932251,12.4,"tmax, tmin",0,0.914947509765696,0.879995727539097,0,-5.4637432098388,0,0,-5.7011581420898,"Anolis humilis","GARD",65157,8.87777278201004
"Anolis_humilis_GBIF","Te","none","Terrestrial",35.6348686218262,35.5650482177734,35.6,18.4946022033691,12.637414932251,12.4,"tmax, tmin",0,0.0698204040527983,0.0348686218261989,0,-5.8571872711181,0,0,-6.0946022033691,"Anolis humilis","GBIF",58560,9.73818284477619
"Anolis_intermedius_GARD","Te","none","Terrestrial",35.6335678100586,38.2570648193359,38.4,18.4802570343018,11.8127574920654,11.1,"tmax, tmin",-2.6234970092773,0,0,2.7664321899414,-6.6674995422364,0,0,-7.3802570343018,"Anolis intermedius","GARD",4835,10.3250985260093
"Anolis_lemurinus_GARD","Te","none","Terrestrial",43.7644844055176,37.2842063903809,37.3,9.1894702911377,12.9027662277222,12.9,"tmax, tmin",0,6.4802780151367,6.4644844055176,0,0,3.7132959365845,30.8644844055176,0,"Anolis lemurinus","GARD",477488,13.6113918075859
"Anolis_limifrons_GARD","Te","none","Terrestrial",42.9198112487793,36.7743453979492,36.8,13.7024431228638,12.309362411499,12.3,"tmax, tmin",0,6.1454658508301,6.1198112487793,0,-1.3930807113648,0,0,-1.4024431228638,"Anolis limifrons","GARD",211406,11.5941038133903
"Anolis_limifrons_GBIF","Te","none","Terrestrial",43.7597389221191,36.7743453979492,36.8,9.18906593322754,12.309362411499,12.3,"tmax, tmin",0,6.9853935241699,6.9597389221191,0,0,3.12029647827146,31.4597389221191,0,"Anolis limifrons","GBIF",742107,14.403709873593
"Anolis_lionotus_IUCN","Te","none","Terrestrial",36.4766006469727,36.6331443786621,36.7,18.0697746276855,14.878589630127,14.7,"tmax, tmin",-0.156543731689403,0,0,0.223399353027304,-3.1911849975585,0,0,-3.3697746276855,"Anolis lionotus","IUCN",25674,8.36645942300004
"Anolis_tropidolepis_GARD","Te","none","Terrestrial",35.6329612731934,33.0052795410156,33.1,18.4735946655273,9.77133083343506,9.5,"tmax, tmin",0,2.62768173217781,2.5329612731934,0,-8.70226383209224,0,0,-8.9735946655273,"Anolis tropidolepis","GARD",6104,10.1904175014915
"Anolis_tropidolepis_GBIF","Te","none","Terrestrial",35.6329612731934,33.0052795410156,33.1,18.4735946655273,9.77133083343506,9.5,"tmax, tmin",0,2.62768173217781,2.5329612731934,0,-8.70226383209224,0,0,-8.9735946655273,"Anolis tropidolepis","GBIF",14299,10.109196849811
"Austrelaps_superbus_GBIF","Te","cold","Terrestrial",34.8584251403809,41.0693092346191,41.2,-2.64182376861572,3.56540298461914,3,"tmax, tmin",-6.2108840942382,0,0,6.3415748596191,0,6.20722675323486,31.8584251403809,0,"Austrelaps superbus","GBIF",557010,-38.2434856806662
"Austrelaps_superbus_IUCN","Te","cold","Terrestrial",32.3535385131836,41.0693092346191,41.2,2.01689410209656,3.56540298461914,3,"tmax, tmin",-8.7157707214355,0,0,8.8464614868164,0,1.54850888252258,29.3535385131836,0,"Austrelaps superbus","IUCN",206108,-39.633471389
"Bassiana_duperreyi_GARD","Te","cold","Terrestrial",34.5886535644531,41.3928337097168,43.5,-2.64493441581726,3.56168937683105,3,"tmax, tmin",-6.8041801452637,0,0,8.9113464355469,0,6.20662379264831,31.5886535644531,0,"Bassiana duperreyi","GARD",337965,-38.709453526715
"Bassiana_duperreyi_GBIF","Te","cold","Terrestrial",35.9603385925293,41.3928337097168,43.5,-4.02724933624268,3.56168937683105,3,"tmax, tmin",-5.4324951171875,0,0,7.5396614074707,0,7.58893871307373,32.9603385925293,0,"Bassiana duperreyi","GBIF",897544,-36.4667226187228
"Chamaeleo_dilepis_IUCN","Te","cold","Terrestrial",40.2454261779785,43.5971984863281,43.6,-5.24560785293579,7.62946796417236,7.6,"tmax, tmin",-3.3517723083496,0,0,3.3545738220215,0,12.8750758171082,32.6454261779785,0,"Chamaeleo dilepis","IUCN",11046310,-10.7012248919999
"Chamaeleo_jacksonii_GBIF","Te","cold","Terrestrial",37.4325065612793,40.9304733276367,41,9.03614521026611,5.42848443984985,5.3,"tmax, tmin",-3.4979667663574,0,0,3.5674934387207,-3.60766077041626,0,0,-3.73614521026611,"Chamaeleo jacksonii","GBIF",279437,-1.40502075269033
"Clubiona_diversa_GBIF","Te","cold","Terrestrial",26.1923294067383,41.2744598388672,41.4,-11.5331172943115,-10.199107170105,-10.2,"tmax, tmin",-15.0821304321289,0,0,15.2076705932617,0,1.3340101242065,36.3923294067383,0,"Clubiona diversa","GBIF",1476519,54.1010577453007
"Clubiona_trivialis_GBIF","Te","none","Terrestrial",37.7692413330078,42.0235786437988,42.1,-29.9875450134277,-7.3964056968689,-7.4,"tmax, tmin",-4.254337310791,0,0,4.3307586669922,0,22.5911393165588,45.1692413330078,0,"Clubiona trivialis","GBIF",10420135,54.5491274584246
"Coleonyx_brevis_IUCN","Te","none","Terrestrial",40.2638282775879,39.6407699584961,41.6,-7.62917757034302,8.68559646606445,8.5,"tmax, tmin",0,0.623058319091797,0,1.3361717224121,0,16.3147740364075,31.7638282775879,0,"Coleonyx brevis","IUCN",569266,29.1094483615001
"Coleonyx_variegatus_IUCN","Te","cold","Terrestrial",43.4175224304199,42.5585517883301,43,-4.40836238861084,7.60380601882935,7.6,"tmax, tmin",0,0.858970642089801,0.417522430419901,0,0,12.0121684074402,35.8175224304199,0,"Coleonyx variegatus","IUCN",580023,30.3067657375
"Cophosaurus_texanus_IUCN","Te","cold","Terrestrial",40.2639656066895,39.640552520752,44.4,-2.71535420417786,15.4360265731812,15.4,"tmax, tmin",0,0.6234130859375,0,4.1360343933105,0,18.1513807773591,24.8639656066895,0,"Cophosaurus texanus","IUCN",1137047,29.1468355615
"Cordylus_cordylus_IUCN","Te","none","Terrestrial",36.8711204528809,41.5972785949707,41.6,-1.19062328338623,7.5154767036438,7.5,"tmax, tmin",-4.7261581420898,0,0,4.7288795471191,0,8.70609998703003,29.3711204528809,0,"Cordylus cordylus","IUCN",234620,-32.207730151
"Cordylus_niger_IUCN","Te","none","Terrestrial",30.431978225708,40.9910659790039,41,2.96410393714905,7.44278764724731,7.4,"tmax, tmin",-10.5590877532959,0,0,10.568021774292,0,4.47868371009826,23.031978225708,0,"Cordylus niger","IUCN",503,-33.6500683035
