"range","sensitivity_type","limit_type","genus_species","source","realm","dormancy","filling_type","filling_value","lat_mp","range_area_km2","edge_type","type","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_ability_category","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","metric","dispersal_distance_continuous","abs_lat_mp","log_maximum_body_size","dispersal_ability_category_general","rr_cells","log_range_area"
"Acar_domingensis_GBIF","acclimatized","tmax","Acar_domingensis","GBIF","Marine","none","warm_under",-4.29,21.9404717287917,6419421,"warm","max","Acar","domingensis","Jenn","Sarah","Animalia","Mollusca","Bivalvia","Arcoida","Arcidae",2.1,"sealifebase","maximum","omnivore","filter feeding class","Non-migratory","sessile","10-100","guess since planktotrophic larvae with unknown PLD","pelagic development and unknown adults","some clades have planktotrophic larval stage - Marko, P. B., & Moran, A. L. (2009). Out of sight, out of mind: high cryptic diversity obscures the identities and histories of geminate species in the marine bivalve subgenus Acar. Journal of Biogeography, 36(10), 1861-1880.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"marine","coastal",NA,"sealifebase",0,-155,NA,"sealifebase",NA,NA,"marine","benthic","sealifebase",NA,NA,"ct",100,21.9404717287917,0.741937344729377,"pelagic",50,3.91202300542815
"Acar_domingensis_GBIF","Te","tmax","Acar_domingensis","GBIF","Marine","none","warm_under",-4.2900009155273,21.9404717287917,6419421,"warm","max","Acar","domingensis","Jenn","Sarah","Animalia","Mollusca","Bivalvia","Arcoida","Arcidae",2.1,"sealifebase","maximum","omnivore","filter feeding class","Non-migratory","sessile","10-100","guess since planktotrophic larvae with unknown PLD","pelagic development and unknown adults","some clades have planktotrophic larval stage - Marko, P. B., & Moran, A. L. (2009). Out of sight, out of mind: high cryptic diversity obscures the identities and histories of geminate species in the marine bivalve subgenus Acar. Journal of Biogeography, 36(10), 1861-1880.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"marine","coastal",NA,"sealifebase",0,-155,NA,"sealifebase",NA,NA,"marine","benthic","sealifebase",NA,NA,"ct",100,21.9404717287917,0.741937344729377,"pelagic",50,3.91202300542815
"Acontias_meleagris_IUCN","Te","tmax","Acontias_meleagris","IUCN","Terrestrial","none","warm_under",-6.889934539795,-33.3391123735,48620,"warm","max","Acontias","meleagris","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",27.5,"Meiri 2008","max adult SVL","insectivore","http://eol.org/pages/796060/details","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably none disperse more than 1km in a single generation, generally","walking","Squamate walking tetrapod","No","no info - based on climate (africa)","","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1400,"IUCN",NA,"terrestrial","This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener, This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener",NA,"ct",1,33.3391123735,3.31418600467253,"walking",8,2.07944154167984
"Acontias_meleagris_IUCN","Te_tpref","tmax","Acontias_meleagris","IUCN","Terrestrial","none","warm_under",-6.889934539795,-33.3391123735,48620,"warm","max","Acontias","meleagris","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",27.5,"Meiri 2008","max adult SVL","insectivore","http://eol.org/pages/796060/details","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably none disperse more than 1km in a single generation, generally","walking","Squamate walking tetrapod","No","no info - based on climate (africa)","","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1400,"IUCN",NA,"terrestrial","This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener, This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener",NA,"ct",1,33.3391123735,3.31418600467253,"walking",8,2.07944154167984
"Acontias_meleagris_IUCN","Te_tpreftb","tmax","Acontias_meleagris","IUCN","Terrestrial","none","warm_under",-6.889934539795,-33.3391123735,48620,"warm","max","Acontias","meleagris","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",27.5,"Meiri 2008","max adult SVL","insectivore","http://eol.org/pages/796060/details","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably none disperse more than 1km in a single generation, generally","walking","Squamate walking tetrapod","No","no info - based on climate (africa)","","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1400,"IUCN",NA,"terrestrial","This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener, This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener",NA,"ct",1,33.3391123735,3.31418600467253,"walking",8,2.07944154167984
"Acris_crepitans_IUCN","acclimatized","tmin","Acris_crepitans","IUCN","Terrestrial","cold","cold_over",5.927698,35.612487486,3209419,"cold","min","Acris","crepitans","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Hylidae",3.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,"insectivore","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","Non-migratory","AmphibiaWeb","1-10","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","walking","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","Yes","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ä‰åä‹¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","","No","no info","","non-highland specialist","Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial","AmphibiaWeb, AmphibiaWeb",NA,"lt",10,35.612487486,1.25276296849537,"walking",398,5.98645200528444
"Acris_crepitans_IUCN","Te","tmin","Acris_crepitans","IUCN","Terrestrial","cold","cold_over",9.24490255117415,35.612487486,3209419,"cold","min","Acris","crepitans","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Hylidae",3.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,"insectivore","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","Non-migratory","AmphibiaWeb","1-10","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","walking","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","Yes","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ä‰åä‹¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","","No","no info","","non-highland specialist","Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial","AmphibiaWeb, AmphibiaWeb",NA,"lt",10,35.612487486,1.25276296849537,"walking",398,5.98645200528444
"Acris_crepitans_IUCN","Te_tpref","tmin","Acris_crepitans","IUCN","Terrestrial","cold","cold_over",9.24490255117415,35.612487486,3209419,"cold","min","Acris","crepitans","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Hylidae",3.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,"insectivore","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","Non-migratory","AmphibiaWeb","1-10","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","walking","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","Yes","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ä‰åä‹¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","","No","no info","","non-highland specialist","Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial","AmphibiaWeb, AmphibiaWeb",NA,"lt",10,35.612487486,1.25276296849537,"walking",398,5.98645200528444
"Acris_crepitans_IUCN","Te_tpreftb","tmin","Acris_crepitans","IUCN","Terrestrial","cold","cold_over",9.24490255117415,35.612487486,3209419,"cold","min","Acris","crepitans","Micky","Sarah","Animalia","Chordata","Amphibia","Anura","Hylidae",3.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,"insectivore","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","Non-migratory","AmphibiaWeb","1-10","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","walking","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","Yes","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ä‰åä‹¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","","No","no info","","non-highland specialist","Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial","AmphibiaWeb, AmphibiaWeb",NA,"lt",10,35.612487486,1.25276296849537,"walking",398,5.98645200528444
"Adamussium_colbecki_GBIF","Te","tmax","Adamussium_colbecki","GBIF","Marine","none","warm_over",23.9599990844727,-60.0542728983342,43944589,"warm","max","Adamussium","colbecki","Jenn","Sarah","Animalia","Mollusca","Bivalvia","Ostreoida","Pectinidae",9,"sealifebase","maximum","omnivore","filter feeding class","Non-migratory","moves slowly","100+","guess since PLD unknown but though to be 4-5mo - Guidetti, M., Marcato, S., Chiantore, M., Patarnello, T., Albertelli, G., & Cattaneo-Vietti, R. (2006). Exchange between populations of Adamussium colbecki (Mollusca: Bivalvia) in the Ross Sea. Antarctic Science, 18(4), 645.","pelagic development and unknown adults","pelagic larval stage - Guidetti, M., Marcato, S., Chiantore, M., Patarnello, T., Albertelli, G., & Cattaneo-Vietti, R. (2006). Exchange between populations of Adamussium colbecki (Mollusca: Bivalvia) in the Ross Sea. Antarctic Science, 18(4), 645.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"marine","coastal",NA,"sealifebase",-37,-136,NA,"sealifebase",NA,NA,"marine","benthic","sealifebase",NA,NA,"ct",1000,60.0542728983342,2.19722457733622,"pelagic",19,2.94443897916644
