"Genus","Species","Class","Order","Family","genus_species"
"Acris","crepitans","Amphibia","Anura","Hylidae","Acris crepitans"
"Agkistrodon","contortrix","Reptilia","Squamata","Viperidae","Agkistrodon contortrix"
"Agroeca","proxima","Arachnida","Araneae","Liocranidae","Agroeca proxima"
"Ameiva","festiva","Reptilia","Squamata","Teiidae","Ameiva festiva"
"Amphibolurus","muricatus","Reptilia","Squamata","Agamidae","Amphibolurus muricatus"
"Anodontia","bullula","Bivalvia","Veneroida","Lucinidae","Anodontia bullula"
"Anolis","barbouri","Reptilia","Squamata","Dactyloidae","Anolis barbouri"
"Anolis","carolinensis","Reptilia","Squamata","Dactyloidae","Anolis carolinensis"
"Anolis","cristatellus","Reptilia","Squamata","Dactyloidae","Anolis cristatellus"
"Anolis","cupreus","Reptilia","Squamata","Dactyloidae","Anolis cupreus"
"Anolis","humilis","Reptilia","Squamata","Dactyloidae","Anolis humilis"
"Anolis","intermedius","Reptilia","Squamata","Dactyloidae","Anolis intermedius"
"Anolis","lemurinus","Reptilia","Squamata","Dactyloidae","Anolis lemurinus"
"Anolis","limifrons","Reptilia","Squamata","Dactyloidae","Anolis limifrons"
"Anolis","lionotus","Reptilia","Squamata","Dactyloidae","Anolis lionotus"
"Anolis","tropidolepis","Reptilia","Squamata","Dactyloidae","Anolis tropidolepis"
"Austrelaps","superbus","Reptilia","Squamata","Elapidae","Austrelaps superbus"
"Barbatia","pistachia","Bivalvia","Pteriomorpha","Arcidae","Barbatia pistachia"
"Bassiana","duperreyi","Reptilia","Squamata","Scincidae","Bassiana duperreyi"
"Boreogadus","saida","Actinopterygii","Gadiformes","Gadidae","Boreogadus saida"
"Calathus","melanocephalus","Insecta","Coleoptera","Carabidae","Calathus melanocephalus"
"Cerastoderma","edule","Bivalvia","Veneroida","Cardiidae","Cerastoderma edule"
"Chamaeleo","dilepis","Reptilia","Squamata","Chamaeleonidae","Chamaeleo dilepis"
"Chamaeleo","jacksonii","Reptilia","Squamata","Chamaeleonidae","Chamaeleo jacksonii"
"Clubiona","diversa","Arachnida","Araneae","Clubionidae","Clubiona diversa"
"Clubiona","trivialis","Arachnida","Araneae","Clubionidae","Clubiona trivialis"
"Coleonyx","brevis","Reptilia","Squamata","Eublepharidae","Coleonyx brevis"
"Coleonyx","variegatus","Reptilia","Squamata","Eublepharidae","Coleonyx variegatus"
"Cophosaurus","texanus","Reptilia","Squamata","Iguanidae","Cophosaurus texanus"
"Cordylus","cordylus","Reptilia","Squamata","Cordylidae","Cordylus cordylus"
"Cordylus","niger","Reptilia","Squamata","Cordylidae","Cordylus niger"
"Cordylus","oelofseni","Reptilia","Squamata","Cordylidae","Cordylus oelofseni"
"Craugastor","fitzingeri","Amphibia","Anura","Eleutherodactylidae","Craugastor fitzingeri"
"Crustulina","guttata","Arachnida","Araneae","Theridiidae","Crustulina guttata"
"Ctenophorus","decresii","Reptilia","Squamata","Agamidae","Ctenophorus decresii"
"Ctenotus","regius","Reptilia","Squamata","Scincidae","Ctenotus regius"
"Ctenotus","taeniolatus","Reptilia","Squamata","Scincidae","Ctenotus taeniolatus"
"Ctenotus","uber","Reptilia","Squamata","Scincidae","Ctenotus uber"
"Dascyllus","aruanus","Actinopterygii","Perciformes","Pomacentridae","Dascyllus aruanus"
"Dendrobates","auratus","Amphibia","Anura","Dendrobatidae","Dendrobates auratus"
"Desmognathus","fuscus","Amphibia","Caudata","Plethodontidae","Desmognathus fuscus"
"Dipsosaurus","dorsalis","Reptilia","Squamata","Iguanidae","Dipsosaurus dorsalis"
"Divaricella","irpex","Bivalvia","Veneroida","Lucinidae","Divaricella irpex"
"Egernia","cunninghami","Reptilia","Squamata","Scincidae","Egernia cunninghami"
"Egernia","saxatilis","Reptilia","Squamata","Scincidae","Egernia saxatilis"
"Egernia","striolata","Reptilia","Squamata","Scincidae","Egernia striolata"
"Eleutherodactylus","coqui","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus coqui"
"Elgaria","multicarinata","Reptilia","Squamata","Anguidae","Elgaria multicarinata"
"Engraulis","japonicus","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus"
"Engystomops","pustulosus","Amphibia","Anura","Leptodactylidae","Engystomops pustulosus"
"Eremias","argus","Reptilia","Squamata","Lacertidae","Eremias argus"
"Eremias","brenchleyi","Reptilia","Squamata","Lacertidae","Eremias brenchleyi"
"Eremias","multiocellata","Reptilia","Squamata","Lacertidae","Eremias multiocellata"
"Eremiascincus","fasciolatus","Reptilia","Squamata","Scincidae","Eremiascincus fasciolatus"
"Eremiascincus","richardsoni","Reptilia","Squamata","Scincidae","Eremiascincus richardsoni"
"Eulamprus","heatwolei","Reptilia","Squamata","Scincidae","Eulamprus heatwolei"
"Eulamprus","kosciuskoi","Reptilia","Squamata","Scincidae","Eulamprus kosciuskoi"
"Eulamprus","quoyii","Reptilia","Squamata","Scincidae","Eulamprus quoyii"
"Eulamprus","tympanum","Reptilia","Squamata","Scincidae","Eulamprus tympanum"
"Eurycea","bislineata","Amphibia","Caudata","Plethodontidae","Eurycea bislineata"
"Fundulus","parvipinnis","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus parvipinnis"
"Gambelia","wislizenii","Reptilia","Squamata","Crotaphytidae","Gambelia wislizenii"
"Gehyra","variegata","Reptilia","Squamata","Gekkonidae","Gehyra variegata"
"Halichoeres","dispilus","Actinopterygii","Perciformes","Labridae","Halichoeres dispilus"
"Hemachatus","haemachatus","Reptilia","Squamata","Elapidae","Hemachatus haemachatus"
"Hemidactylus","frenatus","Reptilia","Squamata","Gekkonidae","Hemidactylus frenatus"
"Hemidactylus","turcicus","Reptilia","Squamata","Gekkonidae","Hemidactylus turcicus"
"Hemiergis","decresiensis","Reptilia","Squamata","Scincidae","Hemiergis decresiensis"
"Hemiergis","peroni","Reptilia","Squamata","Scincidae","Hemiergis peroni"
"Hemigrapsus","nudus","Malacostraca","Decapoda","Varunidae","Hemigrapsus nudus"
"Heteronotia","binoei","Reptilia","Squamata","Gekkonidae","Heteronotia binoei"
"Hoplodactylus","maculatus","Reptilia","Squamata","Gekkonidae","Hoplodactylus maculatus"
"Hyalinobatrachium","fleischmanni","Amphibia","Anura","Centrolenidae","Hyalinobatrachium fleischmanni"
"Lacerta","agilis","Reptilia","Squamata","Lacertidae","Lacerta agilis"
"Lampropholis","delicata","Reptilia","Squamata","Scincidae","Lampropholis delicata"
"Lampropholis","guichenoti","Reptilia","Squamata","Scincidae","Lampropholis guichenoti"
"Lepidodactylus","lugubris","Reptilia","Squamata","Gekkonidae","Lepidodactylus lugubris"
"Lepidophyma","flavimaculatum","Reptilia","Squamata","Xantusiidae","Lepidophyma flavimaculatum"
"Leptodactylus","pentadactylus","Amphibia","Anura","Leptodactylidae","Leptodactylus pentadactylus"
"Linepithema","humile","Insecta","Hymenoptera","Formicidae","Linepithema humile"
"Liolaemus","abaucan","Reptilia","Squamata","Iguanidae","Liolaemus abaucan"
"Liolaemus","albiceps","Reptilia","Squamata","Iguanidae","Liolaemus albiceps"
"Liolaemus","alticolor","Reptilia","Squamata","Iguanidae","Liolaemus alticolor"
"Liolaemus","altissimus","Reptilia","Squamata","Iguanidae","Liolaemus altissimus"
"Liolaemus","bibronii","Reptilia","Squamata","Iguanidae","Liolaemus bibronii"
"Liolaemus","bisignatus","Reptilia","Squamata","Iguanidae","Liolaemus bisignatus"
