"x"
"Agkistrodon contortrix"
"Agroeca proxima"
"Ameiva festiva"
"Amphibolurus muricatus"
"Anodontia bullula"
"Anolis barbouri"
"Anolis carolinensis"
"Anolis cupreus"
"Anolis humilis"
"Anolis intermedius"
"Anolis lemurinus"
"Anolis limifrons"
"Anolis lionotus"
"Anolis tropidolepis"
"Austrelaps superbus"
"Barbatia pistachia"
"Bassiana duperreyi"
"Cerastoderma edule"
"Chamaeleo dilepis"
"Chamaeleo jacksonii"
"Clubiona diversa"
"Clubiona trivialis"
"Coleonyx brevis"
"Coleonyx variegatus"
"Cophosaurus texanus"
"Cordylus cordylus"
"Cordylus oelofseni"
"Crustulina guttata"
"Ctenophorus decresii"
"Ctenotus taeniolatus"
"Ctenotus uber"
"Dascyllus aruanus"
"Dendrobates auratus"
"Desmognathus fuscus"
"Dipsosaurus dorsalis"
"Divaricella irpex"
"Egernia cunninghami"
"Egernia saxatilis"
"Egernia striolata"
"Eleutherodactylus coqui"
"Elgaria multicarinata"
"Engraulis japonicus"
"Eremias argus"
"Eremias brenchleyi"
"Eremiascincus fasciolatus"
"Eremiascincus richardsoni"
"Eulamprus heatwolei"
"Eulamprus kosciuskoi"
"Eulamprus quoyii"
"Eulamprus tympanum"
"Eurycea bislineata"
"Fundulus parvipinnis"
"Gehyra variegata"
"Halichoeres dispilus"
"Hemachatus haemachatus"
"Hemidactylus frenatus"
"Hemidactylus turcicus"
"Hemiergis decresiensis"
"Heteronotia binoei"
"Lacerta agilis"
"Lampropholis delicata"
"Lampropholis guichenoti"
"Lepidodactylus lugubris"
"Lepidophyma flavimaculatum"
"Linepithema humile"
"Liolaemus albiceps"
"Liolaemus capillitas"
"Liolaemus chacoensis"
"Liolaemus cuyanus"
"Liolaemus darwinii"
"Liolaemus dorbignyi"
"Liolaemus irregularis"
"Liolaemus koslowskyi"
"Liolaemus laurenti"
"Liolaemus melanops"
"Liolaemus multicolor"
"Liolaemus olongasta"
"Liolaemus petrophilus"
"Liolaemus poecilochromus"
"Liolaemus pseudoanomalus"
"Liolaemus quilmes"
"Liolaemus riojanus"
"Liolaemus robertmertensi"
"Liolaemus rothi"
"Liolaemus salinicola"
"Liolaemus scapularis"
"Littorina littorea"
"Littorina obtusata"
"Littorina saxatilis"
"Lophognathus gilberti"
"Macoma balthica"
"Malacoctenus zonifer"
"Menidia menidia"
"Moloch horridus"
"Mytilus edulis"
"Nannoscincus maccoyi"
"Niveoscincus metallicus"
"Niveoscincus ocellatus"
"Notechis scutatus"
"Nucella lapillus"
"Oedothorax apicatus"
"Oncorhynchus tshawytscha"
"Pardosa nigriceps"
"Periophthalmus kalolo"
"Petrolisthes gracilis"
"Petrolisthes hirtipes"
"Philodromus aureolus"
"Phrynosoma cornutum"
"Phymaturus antofagastensis"
"Plagiotremus azaleus"
"Platysaurus intermedius"
"Plestiodon chinensis"
"Plestiodon elegans"
"Plestiodon gilberti"
"Podarcis muralis"
"Prinerigone vagans"
"Protobothrops mucrosquamatus"
"Psammodromus algirus"
"Psammodromus hispanicus"
"Pseudacris cadaverina"
"Pseudacris regilla"
"Pseudemoia entrecasteauxii"
"Pseudemoia spenceri"
"Pseudonaja textilis"
"Rana cascadae"
"Rana pretiosa"
"Rankinia diemensis"
"Saproscincus mustelina"
"Sceloporus graciosus"
"Sceloporus malachiticus"
"Sceloporus merriami"
"Sceloporus occidentalis"
"Sceloporus undulatus"
"Sceloporus variabilis"
"Scotina gracilipes"
"Spea hammondii"
"Sphenomorphus incognitus"
"Sphenomorphus indicus"
"Sphenomorphus taiwanensis"
"Sphoeroides maculatus"
"Stemonyphantes lineatus"
"Takydromus hsuehshanensis"
"Takydromus septentrionalis"
"Takydromus sexlineatus"
"Tarentola boettgeri"
"Testudo hermanni"
"Thalassoma lucasanum"
"Thamnophis elegans"
"Thamnophis ordinoides"
"Thamnophis sirtalis"
"Tiliqua nigrolutea"
"Tiliqua rugosa"
"Tlalocohyla smithii"
"Trachylepis striata"
"Trimeresurus gracilis"
"Trimeresurus stejnegeri"
"Uta stansburiana"
"Varanus varius"
"Xantusia vigilis"
"Zootoca vivipara"
