"Genus","Species","Class","Order","Family","genus_species"
"Acar","domingensis","Bivalvia","Arcoida","Arcidae","Acar domingensis"
"Acontias","meleagris","Reptilia","Squamata","Scincidae","Acontias meleagris"
"Adamussium","colbecki","Bivalvia","Ostreoida","Pectinidae","Adamussium colbecki"
"Adelotus","brevis","Amphibia","Anura","Myobatrachidae","Adelotus brevis"
"Agkistrodon","contortrix","Reptilia","Squamata","Viperidae","Agkistrodon contortrix"
"Agroeca","proxima","Arachnida","Araneae","Liocranidae","Agroeca proxima"
"Ambystoma","jeffersonianum","Amphibia","Caudata","Ambystomatidae","Ambystoma jeffersonianum"
"Ambystoma","macrodactylum","Amphibia","Caudata","Ambystomatidae","Ambystoma macrodactylum"
"Ambystoma","maculatum","Amphibia","Caudata","Ambystomatidae","Ambystoma maculatum"
"Ameiva","festiva","Reptilia","Squamata","Teiidae","Ameiva festiva"
"Amphibolurus","muricatus","Reptilia","Squamata","Agamidae","Amphibolurus muricatus"
"Anaxyrus","compactilis","Amphibia","Anura","Bufonidae","Anaxyrus compactilis"
"Anniella","pulchra","Reptilia","Squamata","Anniellidae","Anniella pulchra"
"Anodontia","bullula","Bivalvia","Veneroida","Lucinidae","Anodontia bullula"
"Anolis","auratus","Reptilia","Squamata","Dactyloidae","Anolis auratus"
"Anolis","barbouri","Reptilia","Squamata","Dactyloidae","Anolis barbouri"
"Anolis","carolinensis","Reptilia","Squamata","Dactyloidae","Anolis carolinensis"
"Anolis","cristatellus","Reptilia","Squamata","Dactyloidae","Anolis cristatellus"
"Anolis","cupreus","Reptilia","Squamata","Dactyloidae","Anolis cupreus"
"Anolis","cybotes","Reptilia","Squamata","Dactyloidae","Anolis cybotes"
"Anolis","distichus","Reptilia","Squamata","Dactyloidae","Anolis distichus"
"Anolis","frenatus","Reptilia","Squamata","Dactyloidae","Anolis frenatus"
"Anolis","humilis","Reptilia","Squamata","Dactyloidae","Anolis humilis"
"Anolis","intermedius","Reptilia","Squamata","Dactyloidae","Anolis intermedius"
