"genus_species","limit_type","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","Tb","ref_Tb","notes_Tb"
"Rana_cascadae","max, min","16","Wollmuth_et_al_1986","","",NA,"",""
"Anaxyrus_compactilis","max",NA,"","","",22.3,"Leyte-Manrique_et_al_2018",""
"Philoria_loveridgei","max","15.4","Lopez_2015","","",NA,"",""
"Desmognathus_ochrophaeus","max","17.4","Spotila_1972","","",NA,"",""
"Desmognathus_quadramaculatus","max","13.6","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","",NA,"",""
"Eurycea_longicauda","max","21.7","Spotila_1972","","",NA,"",""
"Eurycea_lucifuga","max","19.3","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","",NA,"",""
"Eurycea_multiplicata","max","18.8","Spotila_1972","","",NA,"",""
"Tlalocohyla_smithii","max, min",NA,"","","",21.3,"Lara-Resendiz_and_Luja_2018",""
"Cophixalus_aenigma","max","23","Merino-Viteri_2018","","",NA,"",""
"Cophixalus_bombiens","max","27.5","Merino-Viteri_2018","","",NA,"",""
"Cophixalus_exiguus","max","27.4","Merino-Viteri_2018","","",NA,"",""
"Cophixalus_hosmeri","max","22.2","Merino-Viteri_2018","","",NA,"",""
"Cophixalus_mcdonaldi","max","26.9","Merino-Viteri_2018","","",NA,"",""
"Cophixalus_neglectus","max","24.6","Merino-Viteri_2018","","",NA,"",""
"Hyla_caerulea","max","30.7","Tracy_and_Christian_2005","","",NA,"",""
"Testudo_hermanni","max, min",NA,"","","",26.32,"Huot-Daubremont_et_al_1996",""
"Gopherus_agassizii","max","26.6","Spotila_et_al_1994","","hatchlings",NA,"",""
"Ameiva_festiva","max, min",NA,"","","",35.7,"Meiri_et_al_2018",""
"Anolis_barbouri","max, min","24.1","Autumn_and_Losos_1997","","",NA,"",""
"Anolis_cooki","max, min","30.6","Huey_and_Webster_1976","","",NA,"",""
"Anolis_lionotus","max, min",NA,"","","",26.2,"Meiri_et_al_2018",""
"Austrelaps_superbus","max, min","32.8","Lillywhite_1980","","",NA,"",""
"Bassiana_duperreyi","max, min","34.23","Du_et_al_2010","","hatchlings",NA,"",""
"Acanthodactylus_erythrurus","max","37.15","Bauwens_and_Garland_1995","","median Tb",NA,"",""
"Acontias_meleagris","max","28.1","Withers_1981","","",NA,"",""
"Chamaeleo_dilepis","max, min","32.8","Bennett_2014","","",NA,"",""
"Chamaeleo_jacksonii","max, min","32.1","Bennett_2014","","",NA,"",""
"Coleonyx_brevis","max, min","31.8","Dial_and_Grismer_1992","","",NA,"",""
"Cophosaurus_texanus","max, min","37.9","Sartorius_2002","","",NA,"",""
"Cordylus_cordylus","max, min","32.1","Clusella-Trullas_et_al_2007","","",NA,"",""
"Cordylus_niger","max, min","32.6","Clusella-Trullas_et_al_2007","","",NA,"",""
"Anolis_evermanni","max",NA,"","","",24.5,"Meiri_et_al_2018",""
"Anolis_frenatus","max",NA,"","","",26.9,"Hertz_et_al_2018",""
"Anolis_krugi","max",NA,"","","",28.7,"Meiri_et_al_2018",""
"Ctenophorus_decresii","max, min","35.9","Walker_et_al_2015","","",NA,"",""
"Anolis_marcanoi","max",NA,"","","",35.7,"Meiri_et_al_2018",""
"Anolis_oculatus","max",NA,"","","",27.4,"Meiri_et_al_2018",""
"Anolis_pulchellus","max",NA,"","","",32.7,"Meiri_et_al_2018",""
"Anolis_roquet","max",NA,"","","",26.5,"Meiri_et_al_2018",""
"Anolis_semilineatus","max",NA,"","","",31.5,"Meiri_et_al_2018",""
"Anolis_shrevei","max",NA,"","","",29.2,"Meiri_et_al_2018",""
"Anolis_stratulus","max","30","Clusella-Trullas_et_al_2011","","",30,"Meiri_et_al_2018",""
"Arizona_elegans","max","26.3","Clusella-Trullas_et_al_2011","","",NA,"",""
"Ctenotus_regius","max, min","35.6","Bennett_and_John-Alder_1986","","",NA,"",""
"Basiliscus_vittatus","max",NA,"","","",36.2,"Meiri_et_al_2018",""
"Ctenotus_taeniolatus","max, min","35.3","Bennett_and_John-Alder_1986","","",NA,"",""
"Carlia_longipes","max",NA,"","","",30.8,"Meiri_et_al_2018",""
"Carlia_rhomboidalis","max",NA,"","","",28.9,"Meiri_et_al_2018",""
"Carlia_vivax","max",NA,"","","",30.5,"Meiri_et_al_2018",""
"Ctenotus_uber","max, min","35.3","Bennett_and_John-Alder_1986","","",NA,"",""
"Charina_bottae","max","27.4","Dorcas_and_Peterson_1997","","",NA,"",""
"Chondrodactylus_angulifer","max",NA,"","","",25.6,"Meiri_et_al_2018",""
"Chondrodactylus_bibronii","max",NA,"","","",29.8,"Meiri_et_al_2018",""
"Egernia_saxatilis","max, min","33.5","Clusella-Trullas_et_al_2011","","",NA,"",""
"Egernia_striolata","max, min","32.7","Bennett_and_John-Alder_1986","","",NA,"",""
"Crotalus_atrox","max",NA,"","","",29.3,"Taylor_et_al_2003","mean across summer months only "
"Crotalus_cerastes","max",NA,"","","",25.8,"Moore_1978",""
"Crotalus_scutulatus","max",NA,"","","",25,"Cardwell_2007",""
"Cryptoblepharus_plagiocephalus","max",NA,"","","",32.6,"Meiri_et_al_2018",""
"Ctenophorus_fordi","max",NA,"","","",38.4,"Meiri_et_al_2018",""
"Ctenophorus_maculosus","max",NA,"","","",38.4,"Meiri_et_al_2018",""
"Ctenophorus_nuchalis","max","36.4","Bradshaw_1988","Licht et al. 1996","",NA,"",""
"Ctenophorus_pictus","max",NA,"","","",34.2,"Meiri_et_al_2018",""
"Ctenophorus_reticulatus","max","36.9","Clusella-Trullas_et_al_2011","","",35.5,"Meiri_et_al_2018",""
"Ctenotus_pantherinus","max","36.1","Gordon_et_al_2010","","",NA,"",""
"Eulamprus_heatwolei","max, min","32.2","Schwarzkopf_and_Shine_1991","","",NA,"",""
"Cyclodomorphus_branchialis","max",NA,"","","",34.7,"Meiri_et_al_2018",""
"Cyclodomorphus_melanops","max",NA,"","","",34.8,"Meiri_et_al_2018",""
"Hemachatus_haemachatus","max, min","21","Alexander_1996","","",NA,"",""
"Hemidactylus_turcicus","max, min","28.4","Angilletta_et_al_1999","","",NA,"",""
"Hemiergis_decresiensis","max, min","24.8","Huey_et_al_1987","","",NA,"",""
"Heteronotia_binoei","max, min","30","Light_et_al_1966","","",NA,"",""
"Lacerta_agilis","max, min","34.7","Bauwens_and_Garland_1995","","median Tb",NA,"",""
"Lampropholis_guichenoti","max, min","33.75","Fraser_and_Grigg_1984","","",NA,"",""
"Eulamprus_tenuis","max",NA,"","","",27,"Arenas-Morena_et_al_2018",""
"Gambelia_wislizenii","min",NA,"","","",38.1,"Meiri_et_al_2018",""
"Liolaemus_canqueli","max, min","35.2","Azocar_et_al_2013","","",NA,"",""
"Hemiergis_quadrilineatum","max","27","Light_et_al_1966","","",NA,"",""
"Holbrookia_maculata","max",NA,"","","",36.3,"Meiri_et_al_2018",""
"Lacerta_schreiberi","max","35.3","Bauwens_and_Garland_1995","","",NA,"",""
"Liolaemus_kingii","max, min","34.801","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_bisignatus","min","34.75","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_melanops","max, min","36","Azocar_et_al_2013","","",NA,"",""
"Liolaemus_chiliensis","min","35.16","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_constanzae","min","34.31","Labra_et_al_2008","Labra_et_al_2001","",NA,"",""
"Liolaemus_curis","min","35.9","Labra_et_al_2009","","",NA,"",""
"Liolaemus_cyanogaster","min","33.79","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_petrophilus","max, min","35.216","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_fitzgeraldi","min","35.68","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_poecilochromus","max, min","34.689","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_hellmichi","min","33.69","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_pseudoanomalus","max, min","33.403","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_riojanus","max, min","36.196","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_robertmertensi","max, min",NA,"","","",36.3,"Meiri_et_al_2018",""
"Liolaemus_rothi","max, min","33.287","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_leopardinus","min","34.24","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_lorenzmuelleri","min","36.13","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_salinicola","max, min","34.258","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_scapularis","max, min","32.98","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_nigromaculatus","min","35.12","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_nigroviridis","min","36.31","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_nitidus","min","35.7","Labra_1998","","",NA,"",""
"Lophognathus_gilberti","max, min",NA,"","","",33.7,"Meiri_et_al_2018",""
"Liolaemus_platei","min","34.5","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Moloch_horridus","max, min","36.7","Light_et_al_1966","","",NA,"",""
"Nannoscincus_maccoyi","max, min","21","Clusella-Trullas_et_al_2011","","",17.8,"Meiri_et_al_2018",""
"Liolaemus_pseudolemniscatus","min","34.6","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Niveoscincus_metallicus","max, min","29","Clusella-Trullas_et_al_2011","","",32.2,"Meiri_et_al_2018",""
"Phymaturus_antofagastensis","max, min","33.2","Cruz_et_al_2009","","",NA,"",""
"Liolaemus_schroederi","min","34.9","Labra_1998","","",NA,"",""
"Phymaturus_indistinctus","max, min","34.1","Cruz_et_al_2009","","",NA,"",""
"Liolaemus_vallecurensis","min","35.91","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_walkeri","min","33.76","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
