"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Agroeca","proxima","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae","max, min",NA,NA,NA,NA,NA
"Clubiona","diversa","Animalia","Arthropoda","Arachnida","Araneae","Clubionidae","max, min",NA,NA,NA,NA,NA
"Crustulina","guttata","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","max, min",NA,NA,NA,NA,NA
"Oedothorax","apicatus","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","max, min",NA,NA,NA,NA,NA
"Pardosa","nigriceps","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","max, min",NA,NA,NA,NA,NA
"Philodromus","aureolus","Animalia","Arthropoda","Arachnida","Araneae","Philodromidae","max, min",NA,NA,NA,NA,NA
"Phrurolithus","festivus","Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","max",NA,NA,NA,NA,NA
"Prinerigone","vagans","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","max, min",NA,NA,NA,NA,NA
"Scotina","gracilipes","Animalia","Arthropoda","Arachnida","Araneae","Liocranidae","max, min",NA,NA,NA,NA,NA
"Stemonyphantes","lineatus","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","max, min",NA,NA,NA,NA,NA
"Calathus","melanocephalus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","min",NA,NA,NA,NA,NA
"Aphaenogaster","fulva","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Camponotus","americanus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Camponotus","castaneus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Camponotus","chromaiodes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Camponotus","novaeboracensis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Camponotus","pennsylvanicus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Crematogaster","lineolata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Formica","neogagates","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Formica","obscuripes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Linepithema","humile","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max, min",NA,NA,NA,NA,NA
"Myrmecocystus","mimicus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max, min",NA,NA,NA,NA,NA
"Pogonomyrmex","barbatus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Pogonomyrmex","californicus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Pogonomyrmex","rugosus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Proceratium","silaceum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Tetramorium","caespitum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Trachymyrmex","septentrionalis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","max",NA,NA,NA,NA,NA
"Acris","crepitans","Animalia","Chordata","Amphibia","Anura","Hylidae","min",NA,NA,NA,NA,NA
"Adelotus","brevis","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Anaxyrus","compactilis","Animalia","Chordata","Amphibia","Anura","Bufonidae","max",NA,NA,NA,NA,NA
"Craugastor","fitzingeri","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","min",NA,NA,NA,NA,NA
"Craugastor","fleischmanni","Animalia","Chordata","Amphibia","Anura","Craugastoridae","max, min",NA,NA,NA,NA,NA
"Crinia","signifera","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Dendrobates","auratus","Animalia","Chordata","Amphibia","Anura","Dendrobatidae","max, min",NA,NA,NA,NA,NA
"Eleutherodactylus","coqui","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","max, min",NA,NA,NA,NA,NA
"Engystomops","pustulosus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","min",NA,NA,NA,NA,NA
"Hyalinobatrachium","fleischmanni","Animalia","Chordata","Amphibia","Anura","Centrolenidae","min",NA,NA,NA,NA,NA
"Leptodactylus","pentadactylus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","min",NA,NA,NA,NA,NA
"Limnodynastes","dorsalis","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Limnodynastes","fletcheri","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Limnodynastes","tasmaniensis","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Litoria","gracilenta","Animalia","Chordata","Amphibia","Anura","Hylidae","max",NA,NA,NA,NA,NA
"Neobatrachus","pictus","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Philoria","frosti","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Philoria","loveridgei","Animalia","Chordata","Amphibia","Anura","Myobatrachidae","max",NA,NA,NA,NA,NA
"Pseudacris","cadaverina","Animalia","Chordata","Amphibia","Anura","Hylidae","max, min",NA,NA,NA,NA,NA
