"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name","parameter_tmax_or_tmin","realm_mean_ARR","realm_sd_ARR","realm_n_ARR","class_mean_ARR","class_sd_ARR","class_n_ARR","class_specific","ARR_equ_slope","ARR_equ_int","mean_int_class","mean_int_realm","int"
"Acanthodactylus","erythrurus","max",46.3,"ct",36.97,36.97,-2.4,585,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Acanthodactylus_erythrurus","Bauwens_et_al_1995",31.66473579,3.33526421,"Acanthodactylus erythrurus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,42.5282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Acar","domingensis","max",39,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","ectotherm","Acar_domingensis","Morley_et_al_2016",29.18999863,-3.18999863,"Acar domingensis","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,35.36,27.8706666666667,24.0662256604722,27.8706666666667
"Acris","crepitans","min",-1,"lt",29.95,29.95,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Acris_crepitans","Brattstrom_1968",NA,NA,"Acris crepitans","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,-5.18631944431667,-0.927581699231373,1.13734758558321,-0.927581699231373
"Adelotus","brevis","max",31.2,"ct",-33.43,33.43,151.35,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Adelotus_brevis","Brattstrom_1970",25.52132607,-20.52132607,"Adelotus brevis","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,30.4121381742017,31.5985265134056,37.2276849039965,31.5985265134056
"Agroeca","proxima","max",37.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",20.58191681,-5.58191681,"Agroeca proxima","tmax",0.140537431829408,0.111211536764043,256,NA,NA,NA,NA,0.140537431829408,35.2919385225589,38.391400086146,37.2276849039965,38.391400086146
"Agroeca","proxima","min",-6.7,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",-1.632228255,5.632228255,"Agroeca proxima","tmin",0.1573876403802,0.112913726528327,50,NA,NA,NA,NA,0.1573876403802,-7.3295505615208,-9.14163942759749,1.13734758558321,-9.14163942759749
"Ambystoma","jeffersonianum","max",34,"ct",40.23,40.23,-76.85,422.2,10,10,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_jeffersonianum","Gatz_1971",30.18464661,-20.18464661,"Ambystoma jeffersonianum","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,32.4242763484034,31.5985265134056,37.2276849039965,31.5985265134056
"Ambystoma","macrodactylum","max",35,"ct",44.9,44.9,-117.22,1140,20,20,0.5,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_macrodactylum","Howard_et_al_1983",29.84904861,-9.84904861,"Ambystoma macrodactylum","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.8485526968068,31.5985265134056,37.2276849039965,31.5985265134056
"Ambystoma","maculatum","max",38.4,"ct",35.55,35.55,-91.62,184,15,15,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_maculatum","Sealander_1969",33.84846115,-18.84846115,"Ambystoma maculatum","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,36.0364145226051,31.5985265134056,37.2276849039965,31.5985265134056
"Anaxyrus","compactilis","max",36.9,"ct",22,22,-102,1524,30,23,1,NA,"Chordata","Amphibia","Anura","Bufonidae","Terrestrial","ectotherm","Anaxyrus_compactilis","Brattstrom_1968",29.8943119,0.1056881,"Anaxyrus compactilis","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,32.1728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Anodontia","bullula","max",36.31,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",31.47999954,-6.47999954,"Anodontia bullula","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,32.81,27.8706666666667,30.0833830033931,27.8706666666667
"Anodontia","bullula","min",7.17,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",23.37999916,1.62000084,"Anodontia bullula","tmin",0.328281949870445,0.145860630180451,40,NA,NA,NA,NA,0.328281949870445,-1.03704874676111,-5.05172924805667,-4.98774849899235,-5.05172924805667
"Anolis","cybotes","max",40.1,"ct",18.18,18.18,-71.07,5,31.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cybotes","Hertz_&_Huey_1981",31.87837982,-0.47837982,"Anolis cybotes","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,36.7162368421053,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","distichus","max",38.6,"ct",25.77,25.77,-80.19,0,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_distichus","Corn_1971",33.6676178,-13.6676178,"Anolis distichus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,36.4447368421053,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","evermanni","max",38.9,"ct",18.27,18.27,-65.91,594,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_evermanni","Heatwole_et_al_1969",31.60007858,-1.60007858,"Anolis evermanni","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,35.6671052631579,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","gundlachi","max",35.7,"ct",18.29,18.29,-66.79,350,20,20,1.75,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_gundlachi","Huey_&_Webster_1976",31.60007858,-11.60007858,"Anolis gundlachi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,33.5447368421053,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","krugi","max",36,"ct",18.4,18.4,-66.05,200,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_krugi","Hertz_1979",31.60007858,-6.60007858,"Anolis krugi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,33.3059210526316,39.5340918339664,37.2276849039965,39.5340918339664
