"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name"
"Abra","tenuis","max",33.44,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Semelidae","Intertidal","ectotherm","Abra_tenuis","Compton_et_al2007",20.19999886,-15.19999886,"Abra tenuis"
"Abra","tenuis","min",-1.68,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Semelidae","Intertidal","ectotherm","Abra_tenuis","Compton_et_al2007",1.279999971,3.720000029,"Abra tenuis"
"Acanthodactylus","erythrurus","max",46.3,"ct",36.97,36.97,-2.4,585,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Acanthodactylus_erythrurus","Bauwens_et_al_1995",31.66473579,3.33526421,"Acanthodactylus erythrurus"
"Acanthomyops","sp.1","max",40,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Acanthomyops_sp.1","Diamond_et_al_2012",32.19478226,-7.19478226,"Acanthomyops sp.1"
"Acar","domingensis","max",39,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","ectotherm","Acar_domingensis","Morley_et_al_2016",29.18999863,-3.18999863,"Acar domingensis"
"Acontias","meleagris","max",41,"ct",-33.1,33.1,18.03,30,NA,20,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Acontias_meleagris","Withers_1981",28.90424347,NA,"Acontias meleagris"
"Acris","crepitans","min",-1,"lt",29.95,29.95,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Acris_crepitans","Brattstrom_1968",NA,NA,"Acris crepitans"
"Adamussium","colbecki","max",2,"ct",-67.5,67.5,-68,0,NA,0,0.00017,NA,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Adamussium_colbecki","Peck_et_al_2004",1.350000024,NA,"Adamussium colbecki"
"Adelotus","brevis","max",31.2,"ct",-33.43,33.43,151.35,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Adelotus_brevis","Brattstrom_1970",25.52132607,-20.52132607,"Adelotus brevis"
"Aenictus","sp.1","max",43.75,"ct",4.05,4.05,114.81,0,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Aenictus_sp.1","Diamond_et_al_2012",31.30045509,-6.30045509,"Aenictus sp.1"
