"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name"
"Acanthodactylus","erythrurus","max",46.3,"ct",36.97,36.97,-2.4,585,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Acanthodactylus_erythrurus","Bauwens_et_al_1995",31.66473579,3.33526421,"Acanthodactylus erythrurus"
"Acar","domingensis","max",39,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","ectotherm","Acar_domingensis","Morley_et_al_2016",29.18999863,-3.18999863,"Acar domingensis"
"Acontias","meleagris","max",41,"ct",-33.1,33.1,18.03,30,NA,20,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Acontias_meleagris","Withers_1981",28.90424347,NA,"Acontias meleagris"
"Acris","crepitans","min",-1,"lt",29.95,29.95,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Acris_crepitans","Brattstrom_1968",NA,NA,"Acris crepitans"
"Adamussium","colbecki","max",2,"ct",-67.5,67.5,-68,0,NA,0,0.00017,NA,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Adamussium_colbecki","Peck_et_al_2004",1.350000024,NA,"Adamussium colbecki"
"Adelotus","brevis","max",31.2,"ct",-33.43,33.43,151.35,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Adelotus_brevis","Brattstrom_1970",25.52132607,-20.52132607,"Adelotus brevis"
"Agkistrodon","contortrix","max",40.6,"ct",35.33,35.33,-90.07,78,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Viperidae","Terrestrial","ectotherm","Agkistrodon_contortrix","Sanders_&_Jacob_1981",33.58058929,NA,"Agkistrodon contortrix"
"Agkistrodon","contortrix","min",6.9,"ct",35.33,35.33,-90.07,78,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Viperidae","Terrestrial","ectotherm","Agkistrodon_contortrix","Sanders_&_Jacob_1981",-1.961768508,NA,"Agkistrodon contortrix"
"Agroeca","proxima","max",37.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",20.58191681,-5.58191681,"Agroeca proxima"
"Agroeca","proxima","min",-6.7,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",-1.632228255,5.632228255,"Agroeca proxima"
"Ambystoma","jeffersonianum","max",34,"ct",40.23,40.23,-76.85,422.2,10,10,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_jeffersonianum","Gatz_1971",30.18464661,-20.18464661,"Ambystoma jeffersonianum"
"Ambystoma","macrodactylum","max",35,"ct",44.9,44.9,-117.22,1140,20,20,0.5,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_macrodactylum","Howard_et_al_1983",29.84904861,-9.84904861,"Ambystoma macrodactylum"
"Ambystoma","maculatum","max",38.4,"ct",35.55,35.55,-91.62,184,15,15,NA,NA,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","ectotherm","Ambystoma_maculatum","Sealander_1969",33.84846115,-18.84846115,"Ambystoma maculatum"
"Ameiva","festiva","max",43.7,"ct",10.5,10.5,-84,50,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Teiidae","Terrestrial","ectotherm","Ameiva_festiva","vanBerkum_1988",31.07708168,NA,"Ameiva festiva"
"Ameiva","festiva","min",15.5,"ct",10.5,10.5,-84,50,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Teiidae","Terrestrial","ectotherm","Ameiva_festiva","vanBerkum_1988",21.64012527,NA,"Ameiva festiva"
"Amphibolurus","muricatus","max",42.3,"ct",-30.52,30.52,151.65,1013,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Agamidae","Terrestrial","ectotherm","Amphibolurus_muricatus","Spellerberg_1972a",29.56103897,NA,"Amphibolurus muricatus"
"Amphibolurus","muricatus","min",3,"ct",-30.52,30.52,151.65,1013,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Agamidae","Terrestrial","ectotherm","Amphibolurus_muricatus","Spellerberg_1972a",1.229507804,NA,"Amphibolurus muricatus"
"Anaxyrus","compactilis","max",36.9,"ct",22,22,-102,1524,30,23,1,NA,"Chordata","Amphibia","Anura","Bufonidae","Terrestrial","ectotherm","Anaxyrus_compactilis","Brattstrom_1968",29.8943119,0.1056881,"Anaxyrus compactilis"
"Anniella","pulchra","max",34,"ct",34.01,34.01,-118.81,38,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anniellidae","Terrestrial","ectotherm","Anniella_pulchra","Brattstrom_1965",30.25820732,NA,"Anniella pulchra"
"Anodontia","bullula","max",36.31,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",31.47999954,-6.47999954,"Anodontia bullula"
"Anodontia","bullula","min",7.17,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Anodontia_bullula","Compton_et_al2007",23.37999916,1.62000084,"Anodontia bullula"
"Anolis","auratus","max",40,"ct",9.16,9.16,-79.84,79,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_auratus","Ballinger_et_al_1970",31.81584358,NA,"Anolis auratus"
"Anolis","barbouri","max",34.9,"ct",18.25,18.25,-71.22,12,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_barbouri","Autumn_&_Losos_1997",31.87837982,NA,"Anolis barbouri"
"Anolis","barbouri","min",11.7,"ct",18.25,18.25,-71.22,13,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_barbouri","Autumn_&_Losos_1997",17.03912735,NA,"Anolis barbouri"
"Anolis","carolinensis","max",41.7,"ct",31.32,31.32,-91.53,0,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_carolinensis","vanBerkum_1988",34.18352509,NA,"Anolis carolinensis"
"Anolis","carolinensis","min",4.7,"ct",31.32,31.32,-91.53,0,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_carolinensis","vanBerkum_1988",2.63240695,NA,"Anolis carolinensis"
"Anolis","cooki","max",38.8,"ct",18.1,18.1,-66.9,0,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cooki","Huey_unpubl_data_in_Huey_et_al_2012",31.83048439,NA,"Anolis cooki"
"Anolis","cooki","min",9.3,"ct",18.1,18.1,-66.9,0,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cooki","Huey_unpubl_data_in_Huey_et_al_2012",19.6760807,NA,"Anolis cooki"
"Anolis","cristatellus","max",37.1,"ct",18.5,18.5,-66.14,6.5,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cristatellus","Huey_unpubl_data_in_Huey_et_al_2012",31.60007858,NA,"Anolis cristatellus"
"Anolis","cristatellus","min",8.9,"ct",18.5,18.5,-66.14,5.6,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cristatellus","Huey_1983",18.81883621,NA,"Anolis cristatellus"
"Anolis","cupreus","max",38.4,"ct",10.63,10.63,-85.43,100,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cupreus","vanBerkum_1986",33.57143784,NA,"Anolis cupreus"
"Anolis","cupreus","min",11.8,"ct",10.63,10.63,-85.43,100,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cupreus","vanBerkum_1986",21.33792305,NA,"Anolis cupreus"
"Anolis","cybotes","max",40.1,"ct",18.18,18.18,-71.07,5,31.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_cybotes","Hertz_&_Huey_1981",31.87837982,-0.47837982,"Anolis cybotes"
"Anolis","distichus","max",38.6,"ct",25.77,25.77,-80.19,0,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_distichus","Corn_1971",33.6676178,-13.6676178,"Anolis distichus"
"Anolis","evermanni","max",38.9,"ct",18.27,18.27,-65.91,594,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_evermanni","Heatwole_et_al_1969",31.60007858,-1.60007858,"Anolis evermanni"
"Anolis","frenatus","max",35.7,"ct",9.16,9.16,-79.84,79,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_frenatus","Ballinger_et_al_1970",31.81584358,NA,"Anolis frenatus"
"Anolis","gundlachi","max",35.7,"ct",18.29,18.29,-66.79,350,20,20,1.75,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_gundlachi","Huey_&_Webster_1976",31.60007858,-11.60007858,"Anolis gundlachi"
"Anolis","gundlachi","min",6.3,"ct",18.2,18.2,-66.79,NA,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_gundlachi","Huey_unpubl_data_in_Huey_et_al_2012",18.81883621,NA,"Anolis gundlachi"
"Anolis","humilis","max",35.6,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_humilis","vanBerkum_1986",31.07708168,NA,"Anolis humilis"
"Anolis","humilis","min",12.4,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_humilis","vanBerkum_1986",21.64012527,NA,"Anolis humilis"
"Anolis","intermedius","max",38.4,"ct",10.3,10.3,-84.82,1450,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_intermedius","vanBerkum_1986",32.53716278,NA,"Anolis intermedius"
"Anolis","intermedius","min",11.1,"ct",10.3,10.3,-84.82,1450,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_intermedius","vanBerkum_1986",21.69583321,NA,"Anolis intermedius"
"Anolis","krugi","max",36,"ct",18.4,18.4,-66.05,200,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_krugi","Hertz_1979",31.60007858,-6.60007858,"Anolis krugi"
"Anolis","lemurinus","max",37.3,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_lemurinus","vanBerkum_1986",31.07708168,NA,"Anolis lemurinus"
"Anolis","lemurinus","min",12.9,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_lemurinus","vanBerkum_1986",21.64012527,NA,"Anolis lemurinus"
"Anolis","limifrons","max",36.8,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_limifrons","vanBerkum_1986",31.07708168,NA,"Anolis limifrons"
"Anolis","limifrons","min",12.3,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_limifrons","vanBerkum_1986",21.64012527,NA,"Anolis limifrons"
"Anolis","lionotus","max",36.7,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_lionotus","vanBerkum_1986",31.07708168,NA,"Anolis lionotus"
"Anolis","lionotus","min",14.7,"ct",10.42,10.42,-84.02,50,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_lionotus","vanBerkum_1986",21.64012527,NA,"Anolis lionotus"
"Anolis","marcanoi","max",40.5,"ct",19.12,19.12,-70.63,500,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_marcanoi","Hertz_&_Huey_1981, Hertz_1980",32.76075363,NA,"Anolis marcanoi"
"Anolis","oculatus","max",35.5,"ct",15.29,15.29,-61.4,0,25,25,3.6,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_oculatus","Brooks_1968",31.3945179,-6.3945179,"Anolis oculatus"
"Anolis","pentaprion","max",36,"ct",9.16,9.16,-79.84,79,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_pentaprion","Brattstrom_1965",31.81584358,NA,"Anolis pentaprion"
"Anolis","pulchellus","max",36.1,"ct",18.37,18.37,-65.72,1,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_pulchellus","Hertz_1979",31.60007858,-6.60007858,"Anolis pulchellus"
"Anolis","roquet","max",35.9,"ct",14.64,14.64,-61.02,350,25,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_roquet","Hertz_1981",31.27609825,-6.27609825,"Anolis roquet"
"Anolis","sagrei","max",40.5,"ct",25.72,25.72,-80.27,1,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_sagrei","Corn_1971",33.6676178,-13.6676178,"Anolis sagrei"
"Anolis","semilineatus","max",39.6,"ct",18.45,18.45,-69.66,16,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_semilineatus","Hertz_1979",31.66293716,-6.66293716,"Anolis semilineatus"
"Anolis","shrevei","max",40.1,"ct",18.8,18.8,-70.68,2200,29.2,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_shrevei","Hertz_&_Huey_1981",31.87837982,-2.67837982,"Anolis shrevei"
"Anolis","stratulus","max",41.2,"ct",18.4,18.4,-66.05,28,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_stratulus","Heatwole_et_al_1969",31.60007858,-1.60007858,"Anolis stratulus"
"Anolis","tropidogaster","max",33.4,"ct",9.16,9.16,-79.84,79,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_tropidogaster","Ballinger_et_al_1970",31.81584358,NA,"Anolis tropidogaster"
"Anolis","tropidolepis","max",33.1,"ct",10.3,10.3,-84.82,1450,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_tropidolepis","vanBerkum_1986",32.53716278,NA,"Anolis tropidolepis"
"Anolis","tropidolepis","min",9.5,"ct",10.3,10.3,-84.82,1450,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_tropidolepis","vanBerkum_1986",21.69583321,NA,"Anolis tropidolepis"
"Anomalopus","brevicollis","max",36.3,"ct",-22.43,22.43,150.19,56,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Anomalopus_brevicollis","Greer_1980",31.77608681,NA,"Anomalopus brevicollis"
"Anomalopus","leuckartii","max",35,"ct",-29.43,29.43,151.7,885,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Anomalopus_leuckartii","Greer_1980",29.27479935,NA,"Anomalopus leuckartii"
"Aphaenogaster","fulva","max",41.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Aphaenogaster_fulva","Diamond_et_al_2012",32.19478226,-7.19478226,"Aphaenogaster fulva"
"Argopecten","purpuratus","max",29,"lt",-14.25,14.25,-76.2,0,19,NA,NA,24,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Argopecten_purpuratus","Urban_1994",25.26999855,-6.26999855,"Argopecten purpuratus"
"Arizona","elegans","max",41.8,"ct",35.7,35.7,-116.34,47,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Colubridae","Terrestrial","ectotherm","Arizona_elegans","Cowles_&_Bogert_1944",39.159832,NA,"Arizona elegans"
"Aulacomya","atra","max",25.6,"lt",-36.5,36.5,-73.9,0,13,NA,NA,24,"Mollusca","Bivalvia","Mytiloida","Mytilidae","Marine","ectotherm","Aulacomya_atra","Urban_1994",NA,NA,"Aulacomya atra"
"Austrelaps","superbus","max",41.2,"ct",-38.3,38.3,146.2,259,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Elapidae","Terrestrial","ectotherm","Austrelaps_superbus","Spellerberg_1972a",25.08243942,NA,"Austrelaps superbus"
"Austrelaps","superbus","min",3,"ct",-38.3,38.3,146.2,259,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Elapidae","Terrestrial","ectotherm","Austrelaps_superbus","Spellerberg_1972a",4.038890839,NA,"Austrelaps superbus"
