Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,collection,24.10,NA,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.20,0.09,10,no,Marine,Heath 1967,88
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,experimental,30.00,10,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.30,0.13,7,no,Marine,Heath 1967,88
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,experimental,35.00,10,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.80,0.40,11,no,Marine,Heath 1967,88
Acipenseridae,Acipenser baerii,Rybinsk Water Reservoir Russia,58.44,38.42,Freshwater,experimental,22.00,14,NA,dynamic,death,0.0014,NA,NA,NA,juveniles,33.00,NA,NA,yes,Freshwater,Golovanov 2013,78
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,10.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,27.60,0.35,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,15.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,31.50,0.91,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,20.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,32.80,1.17,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.50,7,NA,dynamic,LOE,0.1000,NA,135.00,10.70,juveniles,33.70,1.62,29,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.10,7,NA,dynamic,LOE,0.1000,NA,135.00,10.70,juveniles,35.10,1.13,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.50,7,NA,dynamic,death,0.1000,NA,135.00,10.70,juveniles,34.80,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.10,7,NA,dynamic,death,0.1000,NA,135.00,10.70,juveniles,36.10,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser medirostris,University of California Davis US,38.54,-121.76,Freshwater,experimental,18.00,7,NA,dynamic,death,0.3000,NA,NA,NA,NA,34.20,0.22,6,yes,Freshwater,Sardella et al. 2008,169
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,13.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,39.93,0.72,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,15.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,40.92,0.51,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,20.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,40.53,0.51,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,25.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,42.54,0.85,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,28.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,42.56,1.27,18,no,Freshwater,Li et al. 2015,114
