genus,species,group,Acclim. Time (d),Cool Rate (C/min),Heat rate (C/min),latitude,longitude,habitat,Max CTmax ©,Min CTmin (C),CTmax ARR,CTmin ARR,seasonality ©,ref
Ascaphus,truei,amph,6,NA,1,46.877696,-113.990799,t,29.5,NA,0.11,NA,8.16,[1]
Bufo,fowleri,amph,14,NA,1,40.789142,-73.13496,t,36.6,NA,0.16,NA,8.294,[2]
Bufo,marinus,amph,14,NA,1,9.152102,-79.84648,t,41.8,NA,0.21,NA,0.684,[2]
Bufo,boreas,amph,14,NA,1,33.862237,-118.399519,t,38.1,NA,0.13,NA,2.947,[2]
Bufo,boreas,amph,14,NA,1,33.646966,-117.689218,t,37.8,NA,0.11,NA,3.597,[2]
Bufo,boreas,amph,14,NA,1,51.091389,-121.586667,t,35.5,NA,0.06,NA,8.02,[2]
Bufo,exsul,amph,14,NA,1,37.371667,-117.985,t,37.1,NA,0.08,NA,7.869,[2]
Bufo,nelsoni,amph,14,NA,1,36.908557,-116.759226,t,36.2,NA,0.04,NA,8.56,[2]
Bufo,canorus,amph,14,NA,1,37.911037,-119.25793,t,38,NA,0.14,NA,5.64,[2]
Bufo,haematiticus,amph,14,NA,1,9.913056,-83.682778,t,37.5,NA,0.10,NA,0.642,[2]
Bufo,marmoreus,amph,14,NA,1,16.183333,-95.2,t,40.2,NA,0.09,NA,1.269,[2]
Bufo,alvarius,amph,14,NA,1,27.953366,-110.86929,t,39.9,NA,0.18,NA,4.941,[2]
Bufo,cognatus,amph,14,NA,1,27.953366,-110.86929,t,41.3,NA,0.18,NA,4.941,[2]
Bufo,mazatlanensis,amph,14,NA,1,21.567292,-105.245325,t,39.9,NA,0.15,NA,2.846,[2]
Bufo,debilis,amph,14,NA,1,21.567292,-105.245325,t,40.1,NA,0.15,NA,2.846,[2]
Bufo,compactilis,amph,14,NA,1,21.363487,-101.929274,t,36.9,NA,0.12,NA,2.76,[2]
Eleutherodactylus,coqui,amph,7,NA,0.5,18.402807,-66.050137,t,37.4,NA,0.03,NA,1.251,[3]
Pseudacris,regilla,amph,14,NA,1,33.646966,-117.689218,t,36.6,NA,0.19,NA,3.597,[2]
Hyla,walkeri,amph,14,NA,1,16.737142,-92.637567,t,38.1,NA,0.12,NA,1.187,[2]
Hyla,californiae,amph,14,NA,1,34,-117.396119,t,36.8,NA,0.32,NA,4.875,[2]
Smilisca,baudinii,amph,14,NA,1,24.771044,-107.694788,t,40.4,NA,0.29,NA,3.949,[2]
Pternohyla,fodiens,amph,14,NA,1,21.567292,-105.245325,t,39.5,NA,0.16,NA,2.846,[2]
Litoria,aurea,amph,10,NA,1,-38.916664,146.333333,t,36.2,NA,0.09,NA,2.964,[4]
Litoria,rubella,amph,10,NA,1,-20.012274,148.246291,t,39.5,NA,0.18,NA,3.015,[4]
Litoria,rubella,amph,10,NA,1,-17.093286,145.923522,t,38.7,NA,0.15,NA,2.477,[4]
Litoria,rubella,amph,10,NA,1,-19.257622,146.817879,t,39.3,NA,0.18,NA,3.094,[4]
Litoria,peroni,amph,10,NA,1,-33.456091,151.348206,t,36.3,NA,0.26,NA,3.79,[4]
Litoria,peroni,amph,10,NA,1,-30.514342,151.666964,t,36.2,NA,0.16,NA,4.742,[4]
Litoria,rothii,amph,10,NA,1,-20.012274,148.246291,t,38.9,NA,0.14,NA,3.015,[4]
Litoria,rothii,amph,10,NA,1,-17.093286,145.923522,t,39.4,NA,0.38,NA,2.477,[4]
Litoria,lesueri,amph,10,NA,1,-16.920334,145.77086,t,34.2,NA,0.08,NA,2.404,[4]
Litoria,lesueri,amph,10,NA,1,-37.496175,148.17353,t,34.5,NA,0.20,NA,3.755,[4]
Litoria,lesueri,amph,10,NA,1,-37.496546,148.235908,t,33.1,NA,0.14,NA,3.766,[4]
Litoria,ewingi,amph,10,NA,1,-30.514342,151.666964,t,32.8,NA,0.11,NA,4.742,[4]
Litoria,ewingi,amph,10,NA,1,-37.359262,142.59155,t,32.6,NA,0.09,NA,4.047,[4]
Litoria,ewingi,amph,10,NA,1,-37.87133,145.24246,t,34,NA,0.14,NA,3.753,[4]
Litoria,alpina,amph,10,NA,1,-36.455917,148.263588,t,32.9,NA,0.17,NA,4.833,[4]
Litoria,alpina,amph,10,NA,1,-37.833306,146.266671,t,32.2,NA,0.16,NA,4.18,[4]
Litoria,bicolor,amph,10,NA,1,-17.093286,145.923522,t,41.4,NA,0.29,NA,2.477,[4]
Litoria,fallax,amph,10,NA,1,-17.093286,145.923522,t,41.6,NA,0.21,NA,2.477,[4]
Litoria,fallax,amph,10,NA,1,-19.257622,146.817879,t,39.6,NA,0.03,NA,3.094,[4]
Litoria,fallax,amph,10,NA,1,-33.456091,151.348206,t,37.5,NA,0.15,NA,3.79,[4]
Litoria,caerulea,amph,10,NA,1,-19.257622,146.817879,t,39.2,NA,0.19,NA,3.094,[4]
Litoria,chloris,amph,10,NA,1,-17.266821,145.476035,t,38.3,NA,0.07,NA,2.704,[4]
Litoria,gracilenta,amph,10,NA,1,-17.266821,145.476035,t,38.3,NA,0.09,NA,2.704,[4]
Acris,crepitans,amph,5,NA,0.6,42.779442,-96.92921,t,43.2,NA,0.08,NA,11.144,[5]
Pseudacris,triseriata,amph,5,NA,0.6,42.779442,-96.92921,t,40.4,NA,0.07,NA,11.144,[5]
Cophixalus,ornatus,amph,10,NA,1,-17.806672,146.007098,t,33.3,NA,0.11,NA,2.719,[4]
