intratherm_id,genus_species,phylum,class,order,family,extractor,ref,original_compilation,population_id,acclim_temp,latitude,longitude,coordinates_source,genus_from_study,species_from_study,location_description,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,lifestage,notes,record_number,record,realm_general,acclim_time_original,acclim_time_units,genus,species
1,Abudefduf saxatilis,Chordata,Teleostei,Perciformes,Pomacentridae,NA,Graham 1971,Comte,Abudefduf saxatilis_9.66_NA,28,9.66,-79.34,,Abudefduf,saxatilis,Atlantic Panama,NA,39.3,tmax,0.26,SD,13,lethal,death,0.0383,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,Abudefduf,saxatilis
10,Acipenser brevirostrum,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum_45.3_NA,10,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,NA,27.6,tmax,0.35,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Acipenser,brevirostrum
11,Acipenser brevirostrum,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum_45.3_NA,15,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,NA,31.5,tmax,0.91,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Acipenser,brevirostrum
12,Acipenser brevirostrum,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum_45.3_NA,20,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,NA,32.8,tmax,1.17,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Acipenser,brevirostrum
89,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Martin 1988,Comte,Ambassis ambassis_-30.86_NA,24,-30.86,25.14,,Ambassis,ambassis,South Africa,14,36.5,tmax,NA,SD,10,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,14,days,Ambassis,ambassis
90,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru & Ramachandran 2001,Comte,Ambassis ambassis_11.49_NA,20,11.49,79.76,,Ambassis,ambassis,Vellar Brackish India,7,35.49,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Ambassis,ambassis
91,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru & Ramachandran 2001,Comte,Ambassis ambassis_11.49_NA,25,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,7,36.47,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Ambassis,ambassis
92,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru & Ramachandran 2001,Comte,Ambassis ambassis_11.49_NA,28,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,7,37.02,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Ambassis,ambassis
93,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru & Ramachandran 2001,Comte,Ambassis ambassis_11.49_NA,30,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,7,37.54,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Ambassis,ambassis
94,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru & Ramachandran 2001,Comte,Ambassis ambassis_11.49_NA,35,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,7,38.54,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Ambassis,ambassis
95,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru 2002,Comte,Ambassis ambassis_11.49_NA,28,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,NA,37.02,tmax,0.13,SD,10,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ambassis,ambassis
96,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru 2002,Comte,Ambassis ambassis_11.49_NA,28,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,NA,38.5,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ambassis,ambassis
97,Ambassis ambassis,Chordata,Teleostei,Perciformes,Chandidae,NA,Rajaguru 2002,Comte,Ambassis ambassis_11.49_NA,28,11.49,79.76,,Ambassis,ambassis,Vellar Brackish Tamil Nadu India,NA,40.5,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ambassis,ambassis
159,Ameiurus melas,Chordata,Teleostei,Siluriformes,Ictaluridae,NA,Spotila et al. 1979,Comte,Ameiurus melas_42.08_NA,23,42.08,-81.34,,Ameiurus,melas,Lake Erie,NA,35,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ameiurus,melas
160,Ameiurus melas,Chordata,Teleostei,Siluriformes,Ictaluridae,NA,Beitinger et al. 2000,Comte,Ameiurus melas_39.016739_NA,26,39.016739,-90.992256,inferred,Ameiurus,melas,"Cuivre River, Missouri, United States",NA,38.1,tmax,0.39,SD,7,critical,LOE,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ameiurus,melas
163,Ameiurus natalis,Chordata,Teleostei,Siluriformes,Ictaluridae,NA,Spotila et al. 1979,Comte,Ameiurus natalis_42.08_NA,22.2,42.08,-81.34,,Ameiurus,natalis,Lake Erie,NA,36.4,tmax,NA,SD,NA,critical,LOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ameiurus,natalis
167,Ameiurus natalis,Chordata,Teleostei,Siluriformes,Ictaluridae,NA,Beitinger et al. 2000,Comte,Ameiurus natalis_39.201_NA,26,39.201,-92.177,inferred,Ameiurus,natalis,"centroid of Salt River, Lamine River, Missouri, United States",NA,37.9,tmax,0.44,SD,7,critical,LOE,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Ameiurus,natalis
277,Anguilla australis,Chordata,Teleostei,Anguilliformes,Anguillidae,NA,Simons 1984,Comte,Anguilla australis_-37.27_NA,12,-37.27,174.87,,Anguilla,australis,Lower Waikato River New Zealand,7,33.4,tmax,1,SD,13,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Anguilla,australis
278,Anguilla australis,Chordata,Teleostei,Anguilliformes,Anguillidae,NA,Simons 1984,Comte,Anguilla australis_-37.27_NA,20,-37.27,174.87,,Anguilla,australis,Lower Waikato River New Zealand,7,35.6,tmax,1.53,SD,16,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Anguilla,australis
279,Anguilla australis,Chordata,Teleostei,Anguilliformes,Anguillidae,NA,Simons 1984,Comte,Anguilla australis_-37.27_NA,21.5,-37.27,174.87,,Anguilla,australis,Lower Waikato River New Zealand,7,36,tmax,0.62,SD,12,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,Anguilla,australis
297,Apogon dovii,Chordata,Teleostei,Perciformes,Apogonidae,NA,Mora & Ospína 2001,Comte,Apogon dovii_2.97_NA,26.5,2.97,7.18,,Apogon,dovii,Gorgona Island national park Columbia,1,37.04,tmax,0.34,SD,28,critical,LOE,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,1,days,Apogon,dovii
298,Apogon dovii,Chordata,Teleostei,Perciformes,Apogonidae,NA,Ospína & Mora 2004,Comte,Apogon dovii_2.99_NA,26.5,2.99,-78.2,,Apogon,dovii,Gorgona Island reefs Columbia,1,36.43,tmax,0.76,SD,27,lethal,death,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,1,days,Apogon,dovii
299,Apogon dovii,Chordata,Teleostei,Perciformes,Apogonidae,NA,Graham 1971,Comte,Apogon dovii_7.33_NA,28,7.33,-80.21,,Apogon,dovii,Pacific ocean Panama,NA,37.23,tmax,0.88,SD,12,lethal,death,0.0383,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,Apogon,dovii
322,Bathygobius ramosus,Chordata,Teleostei,Perciformes,Gobiidae,NA,Mora & Ospína 2001,Comte,Bathygobius ramosus_2.97_NA,26.5,2.97,7.18,,Bathygobius,ramosus,Gorgona Island national park Columbia,1,35.13,tmax,0.12,SD,15,critical,LOE,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,1,days,Bathygobius,ramosus
323,Bathygobius ramosus,Chordata,Teleostei,Perciformes,Gobiidae,NA,Graham 1971,Comte,Bathygobius ramosus_7.33_NA,28,7.33,-80.21,,Bathygobius,ramosus,Pacific ocean Panama,NA,40.7,tmax,0.09,SD,21,lethal,death,0.0383,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,Bathygobius,ramosus
370,Carpiodes cyprinus,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Mundahl 1990,Comte,Carpiodes cyprinus_39.97_NA,24,39.97,-82.81,,Carpiodes,cyprinus,Indian Creek Ohio US,NA,38.8,tmax,0.8,SD,6,critical,LOE,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Carpiodes,cyprinus
371,Carpiodes cyprinus,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Spotila et al. 1979,Comte,Carpiodes cyprinus_42.08_NA,23.3,42.08,-81.34,,Carpiodes,cyprinus,Lake Erie,NA,37.2,tmax,NA,SD,NA,critical,LOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Carpiodes,cyprinus
380,Catostomus clarkii,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Deacon et al. 1987,Comte,Catostomus clarkii_34.048927_NA,10,34.048927,-111.093735,inferred,Catostomus,clarkii,Virgin River Utha US,14,32.2,tmax,0.64,SD,6,critical,LOE,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,14,days,Catostomus,clarkii
381,Catostomus clarkii,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Deacon et al. 1987,Comte,Catostomus clarkii_34.048927_NA,25,34.048927,-111.093735,inferred,Catostomus,clarkii,Virgin River Utha US,14,37.17,tmax,0.5,SD,6,critical,LOE,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,14,days,Catostomus,clarkii
388,Catostomus commersonii,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Spotila et al. 1979,Comte,Catostomus commersonii_42.08_NA,5,42.08,-81.34,,Catostomus,commersonii,Lake Erie,NA,26.3,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Catostomus,commersonii
389,Catostomus commersonii,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Spotila et al. 1979,Comte,Catostomus commersonii_42.08_NA,10,42.08,-81.34,,Catostomus,commersonii,Lake Erie,NA,27.7,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Catostomus,commersonii
390,Catostomus commersonii,Chordata,Teleostei,Cypriniformes,Catostomidae,NA,Spotila et al. 1979,Comte,Catostomus commersonii_42.08_NA,15,42.08,-81.34,,Catostomus,commersonii,Lake Erie,NA,29.3,tmax,NA,SD,NA,lethal,death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,Catostomus,commersonii
