"Data for CTMax analyses (Fig. 6 & 7, S10, Table S16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Family,Genus3,Species3,Average of Safety,Average of Elevation,Log Average of Elevation,Average of Abs lat,Log Range,log SVL,Average of tmxslope,IUCN 2014risk,Average of Abs lat/10,log SVLx10,Average of tmxslope/100,Average of Safety/10,Average of ARR,LogARR,Log(ARR+1),Exclude Negative ARRs,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Acris,crepitans,9.71010492,259.8,2.414639147,40.5539694,6.50635104,1.51851394,0.015395878,0,4.05539694,15.1851394,1.539587835,0.971010492,0.087741935,-1.05679279,0.036525872,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Acris,gryllus,5.8998016,35,1.544068044,28.538335,5.824127136,1.51851394,0.017347739,0,2.8538335,15.1851394,1.73477391,0.58998016,,,,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Adelotus,brevis,7.1932354,304.7851265,2.48399377,33.42502,5.680532216,1.51851394,0.00705042,1,3.342502,15.1851394,0.705042017,0.71932354,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Agalychnis,dacnicolor,-3.4758184,305,2.484299839,24,5.146905966,1.740362689,0.028510604,0,2.4,17.40362689,2.851060424,-0.34758184,,,,,,,,,,,,,,,,,,,,,,
Anura,Alsodidae,Alsodes,gargola,,1750,3.243038049,41.198611,4.013679697,1.875061263,0.023605042,0,4.1198611,18.75061263,2.360504202,,,,,,,,,,,,,,,,,,,,,,,
Anura,Alytidae,Alytes,cisternasii,,1756,3.244524512,37.378831,5.222172613,1.51851394,0.030292917,1,3.7378831,15.1851394,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Anura,Alytidae,Alytes,dickhilleni,,1756,3.244524512,37.378831,4.488113382,1.740362689,0.030292917,1,3.7378831,17.40362689,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Anura,Alytidae,Alytes,muletensis,,1756,3.244524512,37.378831,2.563481085,1.51851394,0.030292917,1,3.7378831,15.1851394,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,jeffersonianum,7.545875625,336.25,2.526662293,41.52005375,5.672215194,2.187520721,0.010783914,0,4.152005375,21.87520721,1.078391357,0.754587563,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,laterale,10.1475461,30,1.477121255,44.97504,6.245959564,1.892094603,0.043668667,0,4.497504,18.92094603,4.366866747,1.01475461,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,mabeei,7.3873516,21,1.322219295,34.58824,5.0493731,1.892094603,0.015567027,0,3.458824,18.92094603,1.556702681,0.73873516,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,macrodactylum,6.368425533,1343.333333,3.128183791,45.62470267,6.157910772,2.06069784,0.014816993,0,4.562470267,20.6069784,1.481699346,0.636842553,0.094444444,-1.024823584,0.039193721,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,maculatum,6.63133276,251.8,2.401055726,37.689503,6.47556311,2.187520721,0.014771188,0,3.7689503,21.87520721,1.477118848,0.663133276,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,opacum,6.3552673,111,2.045322979,35.994033,6.226239949,1.892094603,0.024533814,0,3.5994033,18.92094603,2.453381353,0.63552673,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,talpoideum,7.0661154,4,0.602059991,32.776475,5.831547292,1.892094603,0.01577471,0,3.2776475,18.92094603,1.577470988,0.70661154,,,,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,tigrinum,6.528865044,1082.521739,3.034436627,36.58055874,6.635245926,2.423245874,0.02131256,0,3.658055874,24.23245874,2.131255981,0.652886504,0.150496011,-0.82247501,0.060885117,,,,,,,,,,,,,,,,,,,
Caudata,Ambystomatidae,Ambystoma,triseriata,,1508,3.178401342,40.575,6.534703179,1.51851394,0.02262385,0,4.0575,15.1851394,2.262384954,,,,,,,,,,,,,,,,,,,,,,,
Caudata,Amphiumidae,Amphiuma,means,5.6145663,6,0.77815125,29.742663,5.691832676,2.523746467,0.015170868,0,2.9742663,25.23746467,1.517086835,0.56145663,,,,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,americanus,11.85358158,224.6451613,2.351497069,36.28794471,6.751172134,2.053078443,0.014210433,0,3.628794471,20.53078443,1.421043256,1.185358158,0.095561429,-1.019717366,0.039636734,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,boreas,9.511452427,748.2727273,2.874059917,37.87399827,6.454245425,2.053078443,-0.013371058,1,3.787399827,20.53078443,-1.337105751,0.951145243,0.0934,-1.029653124,0.03877907,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,canorus,17.38557167,2743,3.438225808,37.911037,4.013258665,1.740362689,0.020884754,1,3.7911037,17.40362689,2.08847539,1.738557167,0.180952381,-0.742435698,0.072232386,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,cognatus,7.718380657,338.7142857,2.529833514,33.41289543,6.446244743,1.939519253,0.032392557,0,3.341289543,19.39519253,3.239255702,0.771838066,0.156,-0.806875402,0.062957834,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,compactilis,4.1246776,1524,3.182984967,22,5.44970513,1.812913357,0.030665466,0,2.2,18.12913357,3.066546619,0.41246776,0.12,-0.920818754,0.049218023,,,,,,,,,,,,,,,,,,,
