Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Abra,tenuis,max,33.44,LT50,53,53,5,0,5,NA,NA,24,Mollusca,Bivalvia,Veneroida,Semelidae,Intertidal,ectotherm,Abra_tenuis,Compton_et_al2007,20.19999886,-15.19999886
Abra,tenuis,min,-1.68,LT50,53,53,5,0,5,NA,NA,24,Mollusca,Bivalvia,Veneroida,Semelidae,Intertidal,ectotherm,Abra_tenuis,Compton_et_al2007,1.279999971,3.720000029
Abrotanella,patearoa,min,-7.5,LT50,-45.4,45.4,NA,1240,NA,0.083,NA,8,Streptophyta,Spermatophyta,Asterales,Asteraceae,Terrestrial,plant,Abrotanella_patearoa,Bannister_et_al_2005,NA,NA
Abrothrix,andinus,max,34,TNZ,-34.46,34.46,-71.22,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Abrothrix_andinus,Bozinovic_&_Rosenmann_1988,27.34323311,NA
Abrothrix,andinus,min,26.8,TNZ,-34.46,34.46,-71.22,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Abrothrix_andinus,Bozinovic_&_Rosenmann_1988,2.438434124,NA
Abrothrix,longipilis,max,32,TNZ,-45.54,45.54,-71.22,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Abrothrix_longipilis,Bozinovic_&_Rosenmann_1988,18.55531693,NA
Abrothrix,longipilis,min,27.3,TNZ,-45.54,45.54,-71.22,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Abrothrix_longipilis,Bozinovic_&_Rosenmann_1988,-3.899405479,NA
Abrothrix,olivaceus,min,26.3,TNZ,-34.46,34.46,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Abrothrix_olivaceus,Bozinovic_&_Rosenmann_1988,NA,NA
Acacia,melanoxylon,min,-7.9,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Fabales,Fabaceae,Terrestrial,plant,Acacia_melanoxylon,Bannister_&_Lord_2010,NA,NA
Acanthodactylus,erythrurus,max,46.3,ct,36.97,36.97,-2.4,585,35,32.5,1,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,ectotherm,Acanthodactylus_erythrurus,Bauwens_et_al_1995,31.66473579,3.33526421
Acanthomyops,sp.1,max,40,ct,36.04,36.04,-79.07,180,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Acanthomyops_sp.1,Diamond_et_al_2012,32.19478226,-7.19478226
Acar,domingensis,max,39,ct,-7.89,7.89,-14.38,0,26,26.1,0.017,NA,Mollusca,Bivalvia,Arcoida,Arcidae,Marine,ectotherm,Acar_domingensis,Morley_et_al_2016,29.18999863,-3.18999863
Acca,sellowiana,min,-12.5,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,Terrestrial,plant,Acca_sellowiana,Bannister_&_Lord_2006,NA,NA
Acer,saccharum,min,-39,LT50,43.04,43.04,NA,340,NA,NA,NA,0.5,Streptophyta,Spermatophyta,Sapindales,Aceraceae,Terrestrial,plant,Acer_saccharum,Gurney_et_al_2011,NA,NA
Aceros,plicatus,min,16,TNZ,-5,5,NA,NA,NA,NA,NA,NA,Chordata,Aves,Bucerotiformes,Bucerotidae,Terrestrial,endotherm,Aceros_plicatus,McNab_2001,NA,NA
Achillea,millefolium,max,41.5,ct,40.3,40.3,-3.7,600,NA,27.5,0.5,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,Terrestrial,plant,Achillea_millefolium,Godoy_et_al_2011,32.68884659,NA
Aciphylla,hectorii,min,-8.4,LT50,-45.4,45.4,NA,1240,NA,0.083,NA,8,Streptophyta,Spermatophyta,Apiales,Apiaceae,Terrestrial,plant,Aciphylla_hectorii,Bannister_et_al_2005,NA,NA
Ackama,rosifolia,min,-5.8,LT50,-45.9,45.9,NA,70,NA,NA,NA,8,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,Terrestrial,plant,Ackama_rosifolia,Bannister_&_Lord_2010,NA,NA
Acmadenia,heterophylla,min,-4.9,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Sapindales,Rutaceae,Terrestrial,plant,Acmadenia_heterophylla,Bannister_&_Lord_2010,NA,NA
Acmena,smithii,min,-4.4,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,Terrestrial,plant,Acmena_smithii,Bannister_&_Lord_2010,NA,NA
Acmispon,glaber,max,53.2,ct,33.5,33.5,-117.1,375,NA,NA,NA,NA,Streptophyta,Spermatophyta,Fabales,Fabaceae,Terrestrial,plant,Acmispon_glaber,Knight_&_Ackerly_2002,30.17784309,NA
Acomys,cahirinus,min,27,TNZ,30.03,30.03,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,endotherm,Acomys_cahirinus,Shkolnik_&_Borut_1969,NA,NA
Acomys,Russatus,max,37,TNZ,31.46,31.46,35.38,NA,28,NA,NA,NA,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,endotherm,Acomys_Russatus,Haim_&_Borut_1981,33.79967117,-5.79967117
Acomys,Russatus,min,33,TNZ,31.46,31.46,35.38,NA,28,NA,NA,NA,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,endotherm,Acomys_Russatus,Haim_&_Borut_1981,7.548747063,20.45125294
Acontias,meleagris,max,41,ct,-33.1,33.1,18.03,30,NA,20,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Acontias_meleagris,Withers_1981,28.90424347,NA
Acradenia,frankliniae,min,-8.1,LT50,-41.7,41.7,NA,300,NA,NA,NA,8,Streptophyta,Spermatophyta,Sapindales,Rutaceae,Terrestrial,plant,Acradenia_frankliniae,Bannister_&_Lord_2010,NA,NA
Acridotheres,cristatellus,max,32.5,TNZ,27.29,27.29,120.51,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Sturnidae,Terrestrial,endotherm,Acridotheres_cristatellus,Lin_et_al_2010,32.38182449,NA
Acridotheres,cristatellus,min,25,TNZ,27.29,27.29,120.51,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Sturnidae,Terrestrial,endotherm,Acridotheres_cristatellus,Lin_et_al_2010,3.942542315,NA
Acris,crepitans,min,-1,LT50,29.95,29.95,NA,304.8,23,NA,NA,24,Chordata,Amphibia,Anura,Hylidae,Terrestrial,ectotherm,Acris_crepitans,Brattstrom_1968,NA,NA
Acrobates,pygmaeus,max,35.1,TNZ,-37.57,37.57,145.33,NA,20,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Acrobatidae,Terrestrial,endotherm,Acrobates_pygmaeus,Fleming_1985,27.79928589,-7.79928589
Acrobates,pygmaeus,min,34,TNZ,-37.57,37.57,145.33,NA,20,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Acrobatidae,Terrestrial,endotherm,Acrobates_pygmaeus,Fleming_1985,3.381584644,16.61841536
Adamussium,colbecki,max,2,ct,-67.5,67.5,-68,0,NA,0,1.70E-04,NA,Mollusca,Bivalvia,Pectinoida,Pectinidae,Marine,ectotherm,Adamussium_colbecki,Peck_et_al_2004,1.350000024,NA
Adelotus,brevis,max,31.2,ct,-33.43,33.43,151.35,304.8,5,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Adelotus_brevis,Brattstrom_1970,25.52132607,-20.52132607
Adenandra,uniflora,min,-4.6,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Sapindales,Rutaceae,Terrestrial,plant,Adenandra_uniflora,Bannister_&_Lord_2010,NA,NA
