Genus,Species,Kingdom,Phylum,Class,Order,Family,limit_type,Tpref,n_tpref,ref_Tpref,ref_from_ref,notes_Tpref,Tb,n_Tb,ref_Tb,notes_Tb
Craugastor,fleischmanni,Animalia,Chordata,Amphibia,Anura,Craugastoridae,"max, min",NA,,,,,,,,
Dendrobates,auratus,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,"max, min",NA,,,,,,,,
Eleutherodactylus,coqui,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,"max, min",NA,,,,,21.21,30,Rios-Franceschi_et_al_2019,different populations
Eleutherodactylus,coqui,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,"max, min",NA,,,,,21.65,30,Rios-Franceschi_et_al_2019,different populations
Eleutherodactylus,coqui,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,"max, min",NA,,,,,20.27,30,Rios-Franceschi_et_al_2019,different populations
Eleutherodactylus,coqui,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,"max, min",NA,,,,,21.38,30,Rios-Franceschi_et_al_2019,different populations
Eleutherodactylus,coqui,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,"max, min",NA,,,,,21.56,30,Rios-Franceschi_et_al_2019,different populations
Pseudacris,cadaverina,Animalia,Chordata,Amphibia,Anura,Hylidae,"max, min",NA,,,,,,,,
Pseudacris,regilla,Animalia,Chordata,Amphibia,Anura,Hylidae,"max, min",NA,,,,,21.7,62,Goodman_and_Johnson_2011,normal 
Rana,cascadae,Animalia,Chordata,Amphibia,Anura,Ranidae,"max, min",16,5,Wollmuth_et_al_1986,,,,,,
Pseudacris,regilla,Animalia,Chordata,Amphibia,Anura,Hylidae,"max, min",NA,,,,,24.4,71,Goodman_and_Johnson_2011,malformed
Phrurolithus,festivus,Animalia,Arthropoda,Arachnida,Araneae,Corinnidae,max,NA,,,,,,,,
Rana,pretiosa,Animalia,Chordata,Amphibia,Anura,Ranidae,"max, min",NA,,,,,,,,
Spea,hammondii,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,"max, min",NA,,,,,,,,
Desmognathus,fuscus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,"max, min",23.8,,Spotila_1972,different populations,,,,,
Desmognathus,fuscus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,"max, min",25.6,,Spotila_1972,different populations,,,,,
Calathus,melanocephalus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,min,NA,,,,,,,,
Aphaenogaster,fulva,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Camponotus,americanus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Camponotus,castaneus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Camponotus,chromaiodes,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Camponotus,novaeboracensis,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Camponotus,pennsylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Crematogaster,lineolata,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Formica,neogagates,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Formica,obscuripes,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Eurycea,bislineata,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,"max, min",NA,,,,,,,,https://repository.si.edu/bitstream/handle/10088/8242/SHIS_052.pdf
Acris,crepitans,Animalia,Chordata,Amphibia,Anura,Hylidae,min,23.4,6,Sauer_et_al_2018,,,,,,
Acris,crepitans,Animalia,Chordata,Amphibia,Anura,Hylidae,min,26.9,16,Gray_1977,,,,,,
Acris,crepitans,Animalia,Chordata,Amphibia,Anura,Hylidae,min,27.2,19,Gray_1977,,,,,,
Acris,crepitans,Animalia,Chordata,Amphibia,Anura,Hylidae,min,28,15,Gray_1977,,,,,,
Pogonomyrmex,barbatus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Pogonomyrmex,californicus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Pogonomyrmex,rugosus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Proceratium,silaceum,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Tetramorium,caespitum,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Trachymyrmex,septentrionalis,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,max,NA,,,,,,,,
Adelotus,brevis,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,max,NA,,,,,,,,
Anaxyrus,compactilis,Animalia,Chordata,Amphibia,Anura,Bufonidae,max,NA,,,,,22.3,49,Leyte-Manrique_et_al_2018,
