data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,highland specialist,Pelagic habitat (for marine species),source/logic for highland specialist,notes,origGenus,origSpecies,Terrestriality (available for mammals only; see panTHERIA metadata),pantheria05Genus,pantheria05Species,pantheria93Genus,pantheria93Species,allPantheriaSynonyms05,pantheriaReferences,binaryName,TRY species number (for plants),notes on body size (e.g. type of metric)
Susana,Podacarus,auberti,Ameronothridae,Terrestrial,Animalia,Arthropoda,Arachnida,Acari,0.14,Wallwork (1965) Bulletin 6-10,herbivore,Deere and Chown (2006) The American Naturalist 168: 630-644;  Feeds on lichens and/or algea.,Non-migratory,"*as far as I know, besides swarms in ants (which tend to be within relatively small distances), only some butterflies, dragonflies/damselflies and locusts migrate",0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,Walking,*All categories based on original insect descriptions (winged/wingless insect),NA,,NA,,No,,Mercer et al (2000) Polar Biology 23: 775-784,Body size is mean length in ë_m.,,,,,,,,,,,,max mean
Susana,Halozetes,belgicae,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,0.07,Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5,herbivore,"Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.",Non-migratory,,0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,Walking,"** for the more tricky ones (i.e. more than one dispersal type), refs are given",NA,,NA,,No,,Mercer et al (2000) Polar Biology 23: 775-784,Body size is mean length in ë_m. ,,,,,,,,,,,,mean
Susana,Halozetes,fulvus,Ameronothridae,Terrestrial,Animalia,Arthropoda,Arachnida,Acarina,0.062,Mercer et al (2001) Antarctic Science 13: 135-143,herbivore,Deere and Chown (2006) The American Naturalist 168: 630-644; Feeds on lichens and/or algea.,Non-migratory,,0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,Walking,,NA,,NA,,No,,Barendse and Chown (2001) Polar Biology 24: 73-82,Body size is mean body length (mm). ,,,,,,,,,,,,mean
Susana,Halozetes,marinus,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,0.0804,Wallwork (1966) Pacific Insects 8: 849-877,herbivore,Deere and Chown (2006) The American Naturalist 168: 630-644;  Feeds on lichens and/or algea.,Non-migratory,,0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,Walking,,NA,,NA,,No,,Mercer et al (2000) Polar Biology 23: 775-784,Body size is mean length in ë_m.,,,,,,,,,,,,mean female
Susana,Halozetes,marionensis,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,0.074,Mercer et al (2001) Antarctic Science 13: 135-143,herbivore,Deere and Chown (2006) The American Naturalist 168: 630-644; Feeds on lichens and/or algea.,Non-migratory,,0-1,Stary and Block (1998) Journal of Natural History 32: 861-894; Oribatid mites have low dispersal ability generally,Walking,,NA,,NA,,No,,Mercer et al (2000) Polar Biology 23: 775-784,Body size is mean length in mm. ,,,,,,,,,,,,mean
Susana,Clubiona,diversa ,Clubionidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.5,Pickard-Cambridge (1862) Zoologist 20: 7951-7968; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,http://www.jorgenlissner.dk/clubionidae.aspx,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Buchholz (2007) Acta Zoologica Bulgarica 59: 241-252,Body size is in mm,,,,,,,,,,,,max female
Susana,Clubiona,similis,Clubionidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,NA,,carnivore,http://www.jorgenlissner.dk/clubionidae.aspx,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Morano and Cardoso (2010) Iberian spider catalogue (v1.1). Available from: www.ennor.org/iberia ,,,,,,,,,,,,,
Susana,Clubiona,trivialis,Clubionidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.41,"Almquist (2006) Insect Systematics and Evolution, Supplement 63: 285-601; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)",carnivore,http://www.jorgenlissner.dk/clubionidae.aspx,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Cherrett (1964) Journal of Animal Ecology 33: 27-48,Body size is total length in mm,,,,,,,,,,,,mean female
Susana,Phrurolithus,festivus,Corinnidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.32,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Elgar (1994) Memoirs of the Queensland Museum 33: 411-430,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Myro,kerguelenensis,Desidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.55,Khoza et al (2005) Koedoe 48: 103-107,carnivore,Jumbam et al (2008) Polar Biology 31: 215-220,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Lee et al (2012) Antarctic Science 24: 15-22; Khoza et al (2005) Koedoe 48: 103-107,Body size is mean sternum width in mm (Lee et al 2012) and length in mm for Khoza et al 2005,,,,,,,,,,,,mean max
Susana,Zelotes,serotinus,Gnaphosidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.98,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Wise (1995) Spiders in Ecological Webs. Cambridge University Press,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Oedothorax,apicatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.35,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Everts et al. (1991) Archives of Environmental Contamination and Toxicology 20: 13-19,Non-migratory,,10+ km,"Blandenier and Furst (1998) Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997, pp 178-186; Large dispersal distances when using aerial dispersal methods",Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Prinerigone,vagans,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.3,Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Jumbam et al (2008) Polar Biology 31: 215-220,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Khoza et al (2005) Koedoe 48: 103-107,Body size is  length in mm,,,,,,,,,,,,max female
Susana,Stemonyphantes,lineatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.75,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Wise (1995) Spiders in Ecological Webs. Cambridge University Press,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Agroeca,proxima,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.35,Almquist (1971) Oikos 22: 225-229,carnivore,"Harvey, P. R., Nellist, D. R., & Telfer, M. G. (2002).åÊProvisional atlas of British spiders (Arachnida, Araneae), Volume 2. Biological Records Centre, Centre for Ecology and Hydrology.",Non-migratory,,NA,,Walking,Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229,Body size is mean body length (mm).,,,,,,,,,,,,mean
Susana,Scotina,gracilipes,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.38,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Wise (1995) Spiders in Ecological Webs. Cambridge University Press,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Lycosa,sp,Lycosidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,NA,,carnivore,Edgar (1969) Journal of Zoology 159: 405-411; Trophic position based on Lycosa lugubris (Walckenaer),Non-migratory,,NA,,Walking,,NA,,NA,,NA,,,,,,,,,,,,,,,
Susana,Pardosa,nigriceps,Lycosidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.68,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,http://www.jorgenlissner.dk/Lycosidae.aspx,Non-migratory,,10+ km,Richter (1970) Oecologia 5: 200-214; Large dispersal distances when using aerial dispersal methods,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Philodromus,aureolus,Philodromidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.85,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Michalko and Pekar (2015) Biological Control 82: 13-20,Non-migratory,,10+ km,"Blandenier and Furst (1998) Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997, pp 178-186; Large dispersal distances when using aerial dispersal methods",Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Tibellus,oblongus,Philodromidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.118,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Ouayogode and Davis (1981) Environmental Entomology 10.1: 62-64,Non-migratory,,10+ km,Yeargan (1975) Journal of the Kansas Entomological Society 48: 403-408; Large dispersal distances when using aerial dispersal methods,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Euophrys,frontalis,Salticidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.47,"Almquist (2006) Insect Systematics and Evolution, Supplement 63: 285-601",carnivore,Wolff et al (2013) PLoS ONE 8: e62682. doi:10.1371/journal.pone.0062682,Non-migratory,,NA,,Jumping/Walking,,NA,,NA,,No,,Morano and Cardoso (2010) Iberian spider catalogue (v1.1). Available from: www.ennor.org/iberia ,Body size is total length in mm (Almquist 2006) and carapace length in mm (Lugnov et al 1993),,,,,,,,,,,,max female
Susana,Crustulina,guttata,Theridiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.3,"Almquist (2005) Insect Systematics and Evolution, Supplement 62: 1-284; Le Peru (2011) MÌ©moires de la SociÌ©tÌ© LinnÌ©enne de Lyon 2: 1-522; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)",carnivore,http://www.jorgenlissner.dk/Theridiidae.aspx,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Morano and Cardoso (2010) Iberian spider catalogue (v1.1). Available from: www.ennor.org/iberia ,Body size is total length in mm,,,,,,,,,,,,max female
Susana,Dipoena,inornata,Theridiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,2.2,Almquist (1971) Oikos 22: 225-229,carnivore,Wise (1995) Spiders in Ecological Webs. Cambridge University Press,Non-migratory,,NA,,Walking,,NA,,NA,,No,,"Franc (2005) Prevailing trophic relations between spiders (Araneae) and ants (Formicoidea) in Slovakia. In: TajovskÌ_, K., SchlaghamerskÌ_, J., PiÅ_l, V. (eds.): Contributions to Soil Zoology in Central Europe II. ISB BC AS CR, v.v.i., €ÎeskÌ© Bud€_jovice: 41-46.",Body size is mean length in mm,,,,,,,,,,,,mean
Susana,Misumenoides,formosipes,Thomisidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,12,Pollard et al. 1995 Anim. Behav. 49:1443-1448.,carnivore,Schmalhofer (2000) Journal of Arachnology 28: 56-60,Non-migratory,,NA,,Walking,,NA,,Yes,Cokendolpher et al (1979) Journal of the Kansas Entomological Society 52: 723-734,NA,,,Body size is length in mm,,,,,,,,,,,,mean
Susana,Misumenops,asperatus,Thomisidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.7,Young (1989) Journal of Entomological Science 24: 174-179,carnivore,Schmalhofer (2000) Journal of Arachnology 28: 56-60,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Young (1989) Journal of Entomological Science 24: 174-179,Body size is mean length in mm,,,,,,,,,,,,mean
Susana,Zora,Spinimana,Zoridae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,0.77,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),carnivore,Wise (1995) Spiders in Ecological Webs. Cambridge University Press,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch),Body size is  length in mm,,,,,,,,,,,,max female
Susana,Cryptopygus,cisantarcticus,Isotomidae,Terrestrial,Animalia,Arthropoda,Entognatha,Collembola,0.175,"Greenslade (2015) New Zealand Entomologist, DOI:10.1080/00779962.2015.1033810",herbivore,Sinclair et al (2003) Journal of Insect Physiology 49: 1049-1061;  Probably feeds predominantly on algae.,Non-migratory,,NA,,Walking,,No,"Convey (1996) European Journal of Entomology 93: 489-505; Probably do not diapause, diapause is uncommon in polar invertebrates (Convey 1996)",NA,,No,,Sinclair et al (2006) Journal of Insect Physiology 52: 29-50,Body size is mean length in mm.,,,,,,,,,,,,mean
Susana,Isotoma,klovstadi,Isotomidae,Terrestrial,Animalia,Arthropoda,Entognatha,Collembola,0.2,Stevens et al (2006) Polar Biology 29: 820-830,herbivore,"Seckbach, J. (2007). Algae and cyanobacteria in extreme environments (Vol. 11). Springer Science & Business Media.; Dickinson, C. H. (Ed.). (2012). Biology of plant litter decomposition (Vol. 2). Elsevier.",Non-migratory,,NA,,Walking,,No,"Convey (1996) European Journal of Entomology 93: 489-505; Probably do not diapause, diapause is uncommon in polar invertebrates (Convey 1996)",NA,,No,,Stevens et al (2006) Polar Biology 29: 820-830,Body size is  maximum length in mm,,,,,,,,,,,,max
Susana,Friesea,grisea,Neanuridae,Terrestrial,Animalia,Arthropoda,Entognatha,Collembola,0.1,Salmon (1962) Pacific Insects 4: 887-894; Convey et al (1999) Polar Biology 22: 1-6,herbivore,"Hayward et al (2004) Soil Biology and Biochemistry 36: 927-934; Associated with Prasiola crispa (algae), which is probably dominant food source.",Non-migratory,,NA,,Walking,,No,"Convey (1996) European Journal of Entomology 93: 489-505; Probably do not diapause, diapause is uncommon in polar invertebrates (Convey 1996)",NA,,No,,Salmon (1962) Pacific Insects 4: 887-894; Convey et al (1999) Polar Biology 22: 1-6,Body size is  length in mm. ,,,,,,,,,,,,mean
Susana,Onychiurus,vontoernei,Onychiuridae,Terrestrial,Animalia,Arthropoda,Entognatha,Collembola,NA,,NA,,Non-migratory,,NA,,Walking,,No,"Convey (1996) European Journal of Entomology 93: 489-505; Probably do not diapause, diapause is uncommon in polar invertebrates (Convey 1996)",NA,,Yes,,Somme (1979) Ecological Entomology 4: 175-180,,,,,,,,,,,,,
Susana,Tullbergia,bisetosa,Onychiuridae,Terrestrial,Animalia,Arthropoda,Entognatha,Collembola,0.15,"Heckman (2001) Encyclopedia of South American Aquatic Insects: Collembola: Illustrated Keys to Known Families, Genera, and Species in South America. Springer Science and Business Media",detritivore,Chown et al (2007) Proceedings of the Royal Society B 274: 2531-2537,Non-migratory,,NA,,Walking,,No,"Convey (1996) European Journal of Entomology 93: 489-505; Probably do not diapause, diapause is uncommon in polar invertebrates (Convey 1996)",NA,,No,,Barendse and Chown (2001) Polar Biology 24: 73-82,Body size is  length in mm,,,,,,,,,,,,mean
Susana,Cryptopygus ,antarcticus travei,Isotomidae,Terrestrial,Animalia,Arthropoda,Entognatha,Entomobryomorpha,0.199,Tillbrook and Block (1972) Oikos 23: 313-317,herbivore,Burn (1981) Oikos 36: 59-64;  Feed on algae and plant detritus,Non-migratory,,NA,,Walking,,NA,,NA,,No,,Barendse and Chown (2001) Polar Biology 24: 73-82,Body size is length in ë_m.,,,,,,,,,,,,mean max
Susana,Parcoblatta,pennsylvanica,Blattellidae,Terrestrial,Animalia,Arthropoda,Insecta,Blattodea,30,"Bell (1981) Cockroach diversity and identification, in: The laboratory cockroach, WJ Bell (ed), Springer Science and Business Media",omnivore,Mullins (2015) Annual Review of Entomology 60: 473-492,Non-migratory,,NA,,Walking/Flying,,NA,,NA,,No,,Strohecker (1937) Ecology 18: 231-250,Body size is length in mm,,,,,,,,,,,,mean
Susana,Celatoblatta,quinquemaculata,Blattidae,Terrestrial,Animalia,Arthropoda,Insecta,Blattodea,1.5,Johns (1966) Records of the Canterbury Museum 8: 93-136,omnivore,Mullins (2015) Annual Review of Entomology 60: 473-492,Non-migratory,,NA,,Walking,,No,Sinclair (1997) Ecological Entomology 22: 462-467,No,Sinclair (1997) Ecological Entomology 22: 462-467,Yes,,Wharton (2011) Journal of Insect Physiology 57: 1090-1095,Body size is length in mm,,,,,,,,,,,,mean
Susana,Boreellus,atriceps,Calliphoridae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,necrophage,Chernov (1975) Biogeocenoses of Taimyr Tundra and their productivity 2: 167-179,Non-migratory,,NA,,Flying,,Yes,Danks (1999) European Journal of Entomology 96: 83-102,NA,,NA,,,,,,,,,,,,,,,
Susana,Chironomus,sp,Chironomidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,0.445,Fruoz et al (2002) Econ Ent 95: 699-705,NA,,Non-migratory,,NA,,Flying,,Yes,Engleman and Shappirio (1965) Nature 207: 548-549,NA,At least one species (C. tentans) is known to diapause,NA,,,Body size is for Chironomus crassicaudatus: wing length (mm) for males and females at temperatures of 15-32.5å¡C,,,,,,,,,,,,max wing length
Susana,Diamesa,sp,Chironomidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,NA,,Non-migratory,,NA,,Flying,,Yes,Bouchard et al (2006) Hydrobiologia 568: 403-416,NA,Some species in this genus known to diapause,NA,,,,,,,,,,,,,,,
Susana,Drosophila,angularis,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,0.27,Okada (1956) Systematic study of Drosophilidae and allied families of Japan. Gihodo Company,mycophage,Takahashi et al (2005) European Journal of Entomology 102: 39-46,Non-migratory,,NA,,Flying,,NA,,NA,,No,,Takahashi et al (2005) European Journal of Entomology 102: 39-46,Body size is  length in mm,,,,,,,,,,,,
Susana,Drosophila,auraria,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,frugivore,Mitsui and Kimura (2010) European Journal of Entomology 107: 535-540,Non-migratory,,NA,,Flying,,Yes,Kimura (1990) Journal of Insect Physiology 36: 147-152,NA,,No,,Kimura (1984) Physiological Entomology 9: 425-4331,,,,,,,,,,,,,
Susana,Drosophila,biauraria,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,NA,,Non-migratory,,NA,,Flying,,Yes,Kimura (1990) Journal of Insect Physiology 36: 147-152,NA,,No,,Kimura (1984) Physiological Entomology 9: 425-4331,,,,,,,,,,,,,
Susana,Drosophila,bipectinata,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,0.199,Hegde et al (2000) Indian Journal of Experimental Biology 38: 797-806; Prasad et al (2008) Zoological Studies 47: 75-83,frugivore,Novkovic et al (2012) European Journal of Entomology 109: 517-526,Non-migratory,,NA,,Flying,,NA,,NA,,No,,Palaksha and Shakunthala (2012) biological Rhythm Research 43: 285-292,Body size is wing length in mm,,,,,,,,,,,,max female wing length
Susana,Drosophila,birchii,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,frugivore,Bridle et al (2009) Proceedings of the Royal Society B 276: 1507-1515,Non-migratory,,NA,,Flying,,NA,,NA,,No,,Bridle et al (2009) Proceedings of the Royal Society B 276: 1507-1515,,,,,,,,,,,,,
Susana,Drosophila,bizonata,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,NA,,mycophage,Kasuya et al (2013) Entomological Science 16: 227-234,Non-migratory,,NA,,Flying,,NA,,NA,,No,,Kim (1996) Korean Journal of Zoology 39: 325-336,,,,,,,,,,,,,
Susana,Drosophila,bocki,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,0.21,Baimai (1979) Pacific Insects 21: 235-240,NA,,Non-migratory,,NA,,Flying,,NA,,NA,,No,,oikawa et al (2006) Entomological Science 9: 347-354,Body size is length in mm,,,,,,,,,,,,max female
Susana,Drosophila,brachynephros,Drosophilidae,Terrestrial,Animalia,Arthropoda,Insecta,Diptera,0.2,Okada (1956) Systematic study of Drosophilidae and allied families of Japan. Gihodo Company,mycophage,Toda et al. (1999) Journal of Animal Ecology 68: 794-803,Non-migratory,,NA,,Flying,,Yes,"Watabe et al (1985) Kontyu, Tokyo 53: 34-41",NA,,No,,Okada (1956) Systematic study of Drosophilidae and allied families of Japan. Gihodo Company,Body size is  length in mm,,,,,,,,,,,,mean
