data gatherer,habitat data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,genus_species,coastal_or_oceanic,notes/logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,upper_elevation_limit_meters,lower_elevation_limit_meters,elevational_range_source,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes
Sally,,Carpiodes,cyprinus,Catostomidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Carpiodes_cyprinus,NA,freshwater,,,,,,,,,demersal,,Freshwater
Sally,,Pimephales,promelas,Cyprinidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Pimephales_promelas,NA,freshwater,,,,,,,,,demersal,,NA
Sally,,Cyprinodon,macularius,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodon_macularius,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,Nikki,Floridichthys,carpio,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Floridichthys_carpio,coastal,brackish water ,fishbase,0,2,,https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3304,,,,benthopelagic,,listed freshwater but marine in thermal data - brackish water 
Sally,,Gambusia,yucatana,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Gambusia_yucatana,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,,Poeciliopsis,occidentalis,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliopsis_occidentalis,NA,freshwater,,,,,,,,,benthopelagic,,NA
Sally,,Hypomesus,nipponensis,Osmeridae,Freshwater,Animalia,Chordata,Actinopterygii,Osmeriformes,Hypomesus_nipponensis,NA,freshwater,,,,,,,,,pelagic,,NA
Sally,,Lepomis,gibbosus,Centrarchidae,Freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Lepomis_gibbosus,NA,freshwater,,,,,,,,,benthopelagic,,NA
Jenn,Nikki,Oncorhynchus,tshawytscha,Salmonidae,Freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Oncorhynchus_tshawytscha,coastal,migrates to coast,fishbase,0,375,,fishbase,,,,benthopelagic,,listed freshwater but marine in thermal data - migrates to ocean (range includes coastal areas)
Jenn,,Alosa,pseudoharengus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Alosa_pseudoharengus,NA,freshwater,,,,,,,,,pelagic,,NA
Jenn,,Cottus,cognatus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottus_cognatus,NA,freshwater,,,,,,,,,demersal,,NA
Jenn,,Ameiurus,melas,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Ameiurus_melas,NA,freshwater,,,,,,,,,demersal,,NA
Jenn,,Ameiurus,natalis,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Ameiurus_natalis,NA,freshwater,,,,,,,,,demersal,,NA
Susana,,Halozetes,belgicae,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,Halozetes_belgicae,NA,intertidal,,,,,,,,,intertidal,?,sealifebase says benthic
Jenn,,Hemigrapsus,nudus,Varunidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Hemigrapsus_nudus,NA,intertidal,,,,,,,,,benthic,sealifebase,NA
Jenn,,Pachygrapsus,marmoratus,Grapsidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Pachygrapsus_marmoratus,NA,intertidal,,,,,,,,,benthic,sealifebase,NA
Jenn,,Petrolisthes,gracilis,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Petrolisthes_gracilis,NA,intertidal,,,,,,,,,benthic,,NA
Jenn,,Petrolisthes,hirtipes,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,Petrolisthes_hirtipes,NA,intertidal,,,,,,,,,demersal,,NA
Jenn,,Gobius,cobitis,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,Gobius_cobitis,NA,intertidal,,,,,,,,,demersal,,NA
