Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Marine,Floridichthys,carpio,Sally,Nikki,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,8,fishbase,NA,carnivore,fishbase,Non-migratory,fishbase,1-10,guess since estuarine ,non-pelagic development and swimming adults,guess since estuarine ,No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,brackish water,fishbase,0,-2,NA,https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3304,NA,NA,marine,benthopelagic,NA,Floridichthys_carpio,max,listed freshwater but marine in thermal data - brackish water,NA
Marine,Oncorhynchus,tshawytscha,Jenn,Nikki,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,150,fishbase,NA,carnivore,fishbase,Migratory,anadromous (Fishbase),10-100,"spawning migration - Anderson, J. H., Faulds, P. L., Burton, K. D., Koehler, M. E., Atlas, W. I., & Quinn, T. P. (2015).  Canadian Journal of Fisheries and Aquatic Sciences, 72(3), 454-465.",non-pelagic development and swimming adults,no info on laval type but larvae age in streams and rivers,No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,migrates to coast,fishbase,0,-375,NA,fishbase,NA,NA,marine,benthopelagic,NA,Oncorhynchus_tshawytscha,"max, min",listed freshwater but marine in thermal data - migrates to ocean (range includes coastal areas),NA
Intertidal,Halozetes,belgicae,Susana,Nikki,Animalia,Arthropoda,Arachnida,Acarina,Ameronothridae,0.07,Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5,Body size is mean length,herbivore,"Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.",Non-migratory,taxa,0-1,oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894,walking,mite,No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,NA,NA,Halozetes_belgicae,"max, min",sealifebase says benthic,NA
Intertidal,Hemigrapsus,nudus,Jenn,Nikki,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,0.1342,Oliver and Schmelter (2018),mean carapace width,omnivore,Yamada and Boulding (1998) Journal of Experimental Marine Biology and Ecology 220(2): 191-211,Non-migratory,"do migrate offshore seasonally, but would likely not affect realized range (Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130)",10-100,"guess since minimum PLD is 30 days - Kelly, R. P., & Palumbi, S. R. (2010). Genetic structure among 50 species of the northeastern Pacific rocky intertidal community. PloS one, 5(1), e8594.",pelagic development and crawling adults,"pelagic larval development - Lehto, J., Sulkin, S., Strom, S., & Johnson, D. (1998). Protists and detrital particles as prey for the first larval stage of the brachyuran crab, Hemigrapsus oregonensis. Journal of experimental marine biology and ecology, 230(2), 213-224.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,sealifebase,Hemigrapsus_nudus,"max, min",NA,NA
Intertidal,Pachygrapsus,marmoratus,Jenn,Nikki,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,2.9,Mehmet et al. (2014) Journal of the Marine Biological Association of the United Kingdom 94(7): 1441-1449,mean carapace width,omnivore,"Cannicci et al. (2002) Estuarine, Coastal and Shelf Science 54: 983–1001",Non-migratory,taxa,10-100,"PLD 1mo - Fratini, S., Ragionieri, L., Cutuli, G., Vannini, M., & Cannicci, S. (2013). Pattern of genetic isolation in the crab Pachygrapsus marmoratus within the Tuscan Archipelago (Mediterranean Sea). Marine Ecology Progress Series, 478, 173-183.",pelagic development,"pelagic larval development - Pires, R. F., Peliz, Á., Pan, M., & dos Santos, A. (2020). “There and back again”− How decapod megalopae find the way home: A modelling exercise for Pachygrapsus marmoratus. Progress in Oceanography, 102331.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,sealifebase,Pachygrapsus_marmoratus,max,NA,NA
Intertidal,Petrolisthes,gracilis,Jenn,Nikki,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,taxa,100+,"PLD in genus thought to be months - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",pelagic development and crawling adults,"pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,NA,Petrolisthes_gracilis,"max, min",NA,NA
Intertidal,Petrolisthes,hirtipes,Jenn,Nikki,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,taxa,100+,"PLD in genus thought to be months - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",pelagic development and crawling adults,"pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,demersal,NA,Petrolisthes_hirtipes,"max, min",NA,NA
Intertidal,Gobius,cobitis,Jenn,Nikki,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,14.1,fishbase,TL male/unsexed,omnivore,fishbase,Non-migratory,fishbase,10-100,"PLD 37-44 days - Gil, M. F., Gonçalves, E. J., Faria, C., Almada, V. C., Baptista, C., & Carreiro, H. (1997). Embryonic and larval development of the giant goby Gobius cobitis (Pisces: Gobiidae). Journal of Natural History, 31(5), 799-804.",pelagic development and swimming adults,pelagic larval stage - Gil et al. (1997) Journal of Natural History 31(5):799-804,No,unheard of for fish,NA,No,unheard of for fish,NA,NA,intertidal,NA,intertidal,NA,-10,-35,NA,fishbase,NA,NA,intertidal,demersal,NA,Gobius_cobitis,max,NA,NA
Marine,Gobius,niger,Jenn,Nikki,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,18,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,Bouchereau and Guelorget (1997) Oceanologica Acta 21(3): 503-517,10-100,"PLD 1 month - Giovannotti, M., La Mesa, M., & Caputo, V. (2009). Life style and genetic variation in teleosts: the case of pelagic (Aphia minuta) and benthic (Gobius niger) gobies (Perciformes: Gobiidae). Marine biology, 156(3), 239-252.",pelagic development and swimming adults,"pelagic planktonic larval stage - Vaas, K. F., Vlasblom, A. G., & De Koeijer, P. (1975). Studies on the black goby (Gobius niger, Gobiidae, Pisces) in the Veerse Meer, SW Netherlands. Netherlands Journal of Sea Research, 9(1), 56-68.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,intertidal,coastal,brackish water,fishbase,-1,-96,NA,fishbase,NA,NA,marine,demersal,NA,Gobius_niger,max,listed freshwater but marine in thermal data - brackish water,NA
Marine,Periophthalmus,kalolo,Sally,Nikki,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,14.1,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,fishbase,100+,"guess, PLD in genus 30-50 days - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.",pelagic development and crawling adults,"guess, pelagic planktonic larval stage in genus - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,intertidal,coastal,NA,fishbase,0,-2,NA,fishbase,NA,NA,marine,reef-associated,NA,Periophthalmus_kalolo,"max, min",marked intertidal here but actually marine according to thermal data - fixed in trait wrangling script,NA
